ibrain,stage,cellid,x,y,dist,lat,ac,af,as,selfc,selsc
1,46,1,380,144,348.23,888,0.0073277,0.007013,0.010016,0.04918,-0.37659
1,46,2,304,128,270.69,468,0.020108,0.011581,0.026254,0.80438,-0.45985
1,46,3,392,124,357.58,708,0.0040746,0.0032174,0.0040518,0.38911,0.010032
1,46,4,132,136,106.74,372,0.0065643,0.0055384,0.0080335,0.36966,-0.34426
1,46,5,180,136,151.33,264,0.0061577,0.0050572,0.0070804,0.35476,-0.24264
1,46,6,172,60,138.95,360,0.027427,0.018331,0.042885,0.5475,-0.64432
1,46,7,184,88,147.88,264,0.022295,0.024709,0.014541,-0.21744,0.89724
1,46,8,212,88,175.88,372,0.01139,0.014982,0.016628,-0.44401,-0.55631
1,46,9,248,116,213.58,372,0.0086579,0.0078317,0.012843,0.1223,-0.45616
1,46,10,228,100,192.18,456,0.011149,0.020678,0.0093776,-0.86992,0.19034
1,46,11,260,92,223.89,264,0.034161,0.020814,0.032925,0.97731,0.076082
1,46,12,288,92,251.89,348,0.0065582,0.0049551,0.0083231,0.44281,-0.36591
1,46,13,340,72,304.35,756,0.0083334,0.0055865,0.0096004,0.43107,-0.17662
1,46,14,140,232,176.69,444,0.01331,0.0065742,0.015336,1.4683,-0.32533
1,46,15,80,172,93.818,468,0.017751,0.012919,0.017107,0.97908,0.10767
1,46,16,40,176,87.014,252,0.01561,0.01272,0.014959,0.57653,0.12524
1,46,17,468,164,438.32,408,0.003275,0.003003,0.0038603,0.17207,-0.31588
1,46,18,64,376,288.28,408,0.010934,0.009876,0.013063,0.27029,-0.56253
1,46,19,92,332,249.27,432,0.0085364,0.0067378,0.0093402,0.62242,-0.22793
1,46,20,124,340,265.87,336,0.0074022,0.0052303,0.0081879,0.8043,-0.22854
1,46,21,92,216,138.68,372,0.007549,0.0054615,0.0085922,0.86434,-0.38372
1,46,22,384,448,499.84,696,0.0056715,0.0043952,0.0062964,0.33817,-0.14783
1,46,23,140,204,154.91,276,0.0058135,0.0047582,0.0069675,0.45274,-0.43818
1,46,24,204,212,208.07,348,0.0099695,0.0054366,0.014345,1.0492,-0.52678
1,46,25,280,160,253.98,456,0.03426,0.019285,0.032555,0.99387,0.096931
1,46,26,200,292,260.83,312,0.015137,0.011542,0.014117,0.46511,0.11547
1,46,27,348,264,357.58,540,0.0045792,0.0044332,0.0051676,0.049,-0.21391
1,46,28,328,248,332.34,480,0.0077017,0.010301,0.0086535,-0.37957,-0.14966
1,46,29,156,36,131.1,336,0.012348,0.0076343,0.018079,0.6992,-0.45886
