f,s,c,ibrain,stage
0.007013,0.010016,0.0073277,1,46
0.011581,0.026254,0.020108,1,46
0.0032174,0.0040518,0.0040746,1,46
0.0055384,0.0080335,0.0065643,1,46
0.0050572,0.0070804,0.0061577,1,46
0.018331,0.042885,0.027427,1,46
0.024709,0.014541,0.022295,1,46
0.014982,0.016628,0.01139,1,46
0.0078317,0.012843,0.0086579,1,46
0.020678,0.0093776,0.011149,1,46
0.020814,0.032925,0.034161,1,46
0.0049551,0.0083231,0.0065582,1,46
0.0055865,0.0096004,0.0083334,1,46
0.0065742,0.015336,0.01331,1,46
0.012919,0.017107,0.017751,1,46
0.01272,0.014959,0.01561,1,46
0.003003,0.0038603,0.003275,1,46
0.009876,0.013063,0.010934,1,46
0.0067378,0.0093402,0.0085364,1,46
0.0052303,0.0081879,0.0074022,1,46
0.0054615,0.0085922,0.007549,1,46
0.0043952,0.0062964,0.0056715,1,46
0.0047582,0.0069675,0.0058135,1,46
0.0054366,0.014345,0.0099695,1,46
0.019285,0.032555,0.03426,1,46
0.011542,0.014117,0.015137,1,46
0.0044332,0.0051676,0.0045792,1,46
0.010301,0.0086535,0.0077017,1,46
0.0076343,0.018079,0.012348,1,46
0.013513,0.019798,0.021403,1,46
0.0056902,0.0064431,0.0064617,1,46
0.0071766,0.010016,0.0096044,1,46
0.0094513,0.010382,0.0096512,1,46
0.007426,0.011671,0.0093949,1,46
0.0078102,0.0093938,0.01065,1,46
0.0048553,0.0053651,0.0052075,1,46
0.0070358,0.0083782,0.0084427,1,46
0.0041698,0.005249,0.0056633,1,46
0.0047872,0.0053969,0.0058301,1,46
0.0066504,0.0090428,0.0086616,1,46
0.0062382,0.0081226,0.0078196,1,46
0.0068853,0.011158,0.010387,1,46
0.0055563,0.008973,0.0078259,1,46
0.0040082,0.0055892,0.005749,1,46
0.0051516,0.0067783,0.0062333,1,46
0.0031979,0.0035749,0.0033761,1,46
0.0089235,0.013016,0.011263,1,46
0.0098598,0.01184,0.012657,1,46
0.0041693,0.0066711,0.0053283,1,46
0.0048731,0.010317,0.0064617,1,46
0.0064589,0.010267,0.0070758,1,46
0.008049,0.0099495,0.0090025,1,46
0.0064559,0.010312,0.0084295,1,46
0.0047908,0.0078239,0.0064829,1,46
0.0035557,0.0049159,0.0043211,1,46
0.0027686,0.0033925,0.0033459,1,46
0.0033361,0.0035544,0.003551,1,46
