name,stage,nCells,nSweeps,ampF,ampS,ampC,nEdges,largest,encoding,gamma,selassort
140718a,46,206,60,6.08,8.94,7.86,42230,109,0.65,-1.8,-0.01
140716b,46,114,60,6.17,7.54,9.35,12882,51,0.72,-1.61,0.13
140716a,46,141,60,4.22,6.37,7.23,19740,77,0.68,-1.71,0.25
140715,46,95,60,6.16,6.46,7.24,8930,39,0.53,-1.28,0.01
140711,46,94,60,4.74,8.8,8.37,8742,43,0.7,-1.23,0.18
140708b,46,98,60,5.96,10.16,8.75,9506,45,0.63,-1.43,-0.03
140708a,46,133,60,5.78,8.66,8.91,17556,81,0.47,-1.76,0.09
140705a,46,111,60,4.95,9.19,7.76,12210,55,0.5,-1.56,0.25
140704b,46,84,60,6.25,6.55,6.16,6972,46,0.4,-1.49,-0.05
140704a,46,92,60,5.3,8.44,5.53,8372,44,0.8,-1.37,-0.1
140627,46,99,60,9.68,9.61,9.17,9702,56,0.47,-1.48,-0.12
140626,46,85,60,6.27,9.83,8.86,7140,37,0.5,-1.25,0.12
140610,46,93,60,4.88,6.11,6.02,8556,48,0.57,-1.33,0.11
140516,46,107,60,4.09,6.94,7.51,11342,52,0.7,-1.35,0.21
140726,49,135,60,6.35,9.78,8.63,18090,84,0.65,-1.85,0.03
140724,49,178,72,4.35,5.33,7.47,31506,99,0.88,-1.7,0.16
140723,49,165,72,7.12,11.79,9.13,27060,77,0.67,-1.54,0.22
140722,49,102,60,5.15,8.51,5.42,10302,66,0.63,-1.77,0.25
140718b,49,114,72,9.28,12.84,11.86,12882,62,0.54,-1.46,0.14
140714,49,128,60,7.13,8.82,7.24,16256,72,0.57,-1.6,-0.08
140710,49,116,60,6.89,8.88,9.19,13340,69,0.63,-1.72,-0.01
140709,49,152,72,10.07,12.8,10.87,22952,72,0.69,-1.59,0.05
140707,49,170,60,7.7,8.76,10.42,28730,113,0.57,-2.12,0.18
140705b,49,122,60,8,7.38,8.31,14762,86,0.47,-1.83,0.03
140612,49,104,60,7.36,7.06,7.12,10712,75,0.57,-1.85,0.07
140521,49,160,60,3.91,5.63,7.13,25440,131,0.85,-2.2,-0.03
140328,49,229,60,4.72,6.48,6.54,52212,167,0.42,-2.36,-0.05
140314,49,221,36,6.31,7.89,6.18,48620,106,0.5,-1.75,-0.05
140311,49,88,72,3.59,4.12,4.22,7656,67,0.81,-1.82,0.05
140310,49,109,12,8.09,8.26,8.62,11772,91,0.5,-2.01,0.1
