fc,fs,sc,ibrain,stage
0.04918,0.41964,-0.37659,1,46
0.80438,1.2091,-0.45985,1,46
0.38911,0.41061,0.010032,1,46
0.36966,0.62072,-0.34426,1,46
0.35476,0.63295,-0.24264,1,46
0.5475,1.1516,-0.64432,1,46
-0.21744,-1.08,0.89724,1,46
-0.44401,0.1742,-0.55631,1,46
0.1223,0.58791,-0.45616,1,46
-0.86992,-1.3276,0.19034,1,46
0.97731,0.85685,0.076082,1,46
0.44281,0.72914,-0.36591,1,46
0.43107,0.6414,-0.17662,1,46
1.4683,1.6707,-0.32533,1,46
0.97908,0.73404,0.10767,1,46
0.57653,0.45147,0.12524,1,46
0.17207,0.48554,-0.31588,1,46
0.27029,0.71994,-0.56253,1,46
0.62242,0.75975,-0.22793,1,46
0.8043,1.0589,-0.22854,1,46
0.86434,1.223,-0.38372,1,46
0.33817,0.48511,-0.14783,1,46
0.45274,0.86024,-0.43818,1,46
1.0492,1.1768,-0.52678,1,46
0.99387,0.8898,0.096931,1,46
0.46511,0.38448,0.11547,1,46
0.049,0.23891,-0.21391,1,46
-0.37957,-0.21211,-0.14966,1,46
0.6992,0.95069,-0.45886,1,46
1.3503,1.052,0.24829,1,46
0.23779,0.21072,0.0052832,1,46
0.65423,0.69981,-0.094458,1,46
0.040149,0.19372,-0.15033,1,46
0.82533,1.8354,-0.97414,1,46
0.8395,0.51474,0.34132,1,46
0.14947,0.20402,-0.06594,1,46
0.37608,0.35914,0.018204,1,46
0.65256,0.65184,0.1813,1,46
0.35862,0.27482,0.1556,1,46
0.75551,0.74885,-0.1162,1,46
0.56749,0.63749,-0.093907,1,46
1.0423,1.0207,-0.17976,1,46
0.69183,0.9006,-0.29016,1,46
0.71452,0.69317,0.062563,1,46
0.37417,0.50154,-0.17808,1,46
0.12228,0.23541,-0.13167,1,46
0.59463,0.83954,-0.37012,1,46
0.59011,0.4196,0.16058,1,46
0.78317,1.3996,-0.77084,1,46
0.46917,0.73675,-0.49963,1,46
0.12773,0.46234,-0.38298,1,46
0.22518,0.40143,-0.20067,1,46
0.60629,0.84605,-0.40765,1,46
0.49139,0.71068,-0.30039,1,46
0.40521,0.65052,-0.25533,1,46
0.33133,0.3732,-0.026772,1,46
0.12757,0.13077,-0.002409,1,46
0.17329,0.14956,0.038834,1,46
0.11295,0.35705,-0.23852,1,46
-0.24303,0.19886,-0.40962,1,46
0.71786,0.78109,-0.2757,1,46
0.59433,0.78856,-0.31895,1,46
0.99014,1.1186,-0.28131,1,46
0.46178,0.49934,-0.11163,1,46
0.63068,0.81105,-0.34128,1,46
