nexp, ncell, selFC, selSC, indegree, oudegree, katz, revkatz, clust, spiking, insel
1,4,0.36966,-0.34426,0.053794,0.09669,0.12176,0.13162,0.0014902,0.0067121,0.046207
1,5,0.35476,-0.24264,0,0.030761,0.1,0.10811,0,0.0060985,0
1,6,0.5475,-0.64432,0.027014,0.056151,0.11093,0.11643,0,0.029548,0.033962
1,7,-0.21744,0.89724,0,0.068609,0.1,0.12328,0,0.020515,0
1,8,-0.44401,-0.55631,0,0.027727,0.1,0.10676,0,0.014333,0
1,12,0.44281,-0.36591,0.032588,0,0.11318,0.1,0,0.0066121,0.020229
1,14,1.4683,-0.32533,0.024605,0.057015,0.11433,0.1139,0,0.01174,0.021173
1,15,0.97908,0.10767,0.0749,0.22253,0.13029,0.16773,0.00076567,0.015926,0.030705
1,16,0.57653,0.12524,0.026816,0.12923,0.12078,0.13733,0.0013911,0.01443,0.0090199
1,18,0.27029,-0.56253,0.034486,0.021351,0.11566,0.10565,0,0.011291,0.029807
1,19,0.62242,-0.22793,0.11115,0.03039,0.15633,0.11213,0.0015237,0.0082048,0.069161
1,20,0.8043,-0.22854,0.048507,0.031224,0.12222,0.10957,0,0.0069401,0.013259
1,21,0.86434,-0.38372,0.030366,0.10726,0.11228,0.12969,0.0028528,0.0072009,0.019864
1,23,0.45274,-0.43818,0.17023,0.12245,0.19424,0.14005,0.0014955,0.0058464,0.10789
1,24,1.0492,-0.52678,0,0.028979,0.1,0.10777,0,0.009917,0
1,26,0.46511,0.11547,0,0.04815,0.1,0.11338,0,0.013599,0
1,27,0.049,-0.21391,0,0.023928,0.1,0.10622,0,0.0047267,0
1,28,-0.37957,-0.14966,0.044177,0,0.11914,0.1,0,0.0088854,0.043273
1,29,0.6992,-0.45886,0,0.038286,0.1,0.11285,0,0.012687,0
1,30,1.3503,0.24829,0.047223,0.026947,0.12257,0.1076,0.0041027,0.018238,0.030234
1,31,0.23779,0.0052832,0,0.021355,0.1,0.10521,0,0.0061984,0
1,32,0.65423,-0.094458,0.1552,0.05561,0.20108,0.11718,0,0.0089322,0.12357
1,33,0.040149,-0.15033,0,0.031598,0.1,0.11155,0,0.0098281,0
1,34,0.82533,-0.97414,0.11496,0,0.15131,0.1,0,0.0094974,0.062184
1,35,0.8395,0.34132,0.022953,0,0.11298,0.1,0,0.0092847,0.010858
1,36,0.14947,-0.06594,0.035568,0,0.11439,0.1,0,0.0051426,0.044716
1,37,0.37608,0.018204,0.023928,0.025759,0.10968,0.10663,0,0.0079523,0.0011725
1,38,0.65256,0.1813,0.059026,0.047697,0.13995,0.11266,0,0.0050274,0.034892
1,39,0.35862,0.1556,0.090313,0.05716,0.157,0.117,0,0.0053381,0.083867
1,40,0.75551,-0.1162,0.026251,0,0.12034,0.1,0,0.0081183,0.0088298
1,41,0.56749,-0.093907,0.15261,0,0.17471,0.1,0.0030624,0.0073935,0.11253
1,43,0.69183,-0.29016,0.022796,0,0.11291,0.1,0,0.0074518,0.014876
1,47,0.59463,-0.37012,0.028961,0.043454,0.11511,0.11342,0,0.011067,0.010189
1,48,0.59011,0.16058,0,0.19473,0.1,0.15334,0.0018664,0.011452,0
1,49,0.78317,-0.77084,0.17636,0.15599,0.19777,0.14978,0.00065104,0.0053896,0.14148
1,50,0.46917,-0.49963,0,0.02501,0.1,0.10674,0,0.0072174,0
1,51,0.12773,-0.38298,0,0.024319,0.1,0.10665,0,0.0079339,0
1,53,0.60629,-0.40765,0.027582,0,0.11116,0.1,0,0.0083992,0.015758
1,55,0.40521,-0.25533,0.050893,0,0.12058,0.1,0,0.0042643,0.025379
1,61,0.71786,-0.2757,0.033664,0.10513,0.11362,0.12975,0.0026715,0.0051062,0.014142
1,62,0.59433,-0.31895,0.031527,0.057388,0.12523,0.11852,0,0.0054423,0.024691
1,63,0.99014,-0.28131,0.1563,0.036636,0.20674,0.111,0.0022438,0.0090238,0.10901
1,64,0.46178,-0.11163,0.16413,0,0.1891,0.1,0.0017117,0.0087308,0.11628
1,65,0.63068,-0.34128,0,0.088595,0.1,0.12649,0,0.007764,0
1,67,0.18945,-0.10204,0,0.021052,0.1,0.10513,0,0.003792,0
1,71,0.31091,0.067332,0,0.032172,0.1,0.10784,0,0.0036763,0
1,75,0.5713,-0.13135,0,0.053174,0.1,0.11334,0,0.011682,0
1,76,0.54338,-0.25175,0,0.020194,0.1,0.10492,0,0.0079586,0
1,79,0.49517,-0.25294,0,0.022188,0.1,0.10541,0,0.0058798,0
1,82,0.022435,-0.43153,0,0.054303,0.1,0.11652,0,0.0072976,0
1,83,0.4201,-0.31863,0,0.11405,0.1,0.13136,0.0026715,0.0081154,0
1,86,0.69319,0.064352,0.021164,0,0.10856,0.1,0,0.0092804,0.015949
1,87,1.3898,-0.30092,0.094323,0.094943,0.15477,0.12754,0.0010425,0.0090228,0.061596
1,88,0.79934,-0.40821,0.090547,0.06005,0.16642,0.1154,0.0015268,0.010609,0.071604
1,89,0.41942,-0.33915,0.113,0.21146,0.17443,0.16358,0.001179,0.0063353,0.062357
1,90,0.38079,0.061745,0.071505,0.14424,0.13073,0.1405,0.002319,0.0095055,0.062875
1,91,-0.04654,-0.34335,0.08567,0.10294,0.14366,0.13146,0.001035,0.0092748,0.075486
1,92,-0.32106,-0.030791,0.094365,0,0.14691,0.1,0,0.0087217,0.070396
1,94,0.56901,-0.14813,0,0.030275,0.1,0.10942,0,0.0068144,0
1,103,0.9901,-0.53478,0,0.084783,0.1,0.12219,0,0.0097422,0
1,104,0.26741,0.12476,0.027267,0,0.11103,0.1,0,0.0027539,0.010976
1,105,0.17587,0.041857,0.021052,0,0.10851,0.1,0,0.002537,0.0039884
1,107,1.4383,-0.56331,0.23575,0.056262,0.25159,0.1172,0.00045545,0.011313,0.11073
1,108,0.72036,-1.1974,0.032426,0.032946,0.11311,0.11156,0,0.01147,0.021418
1,109,0.207,-0.53369,0,0.079958,0.1,0.12716,0,0.0083796,0
1,110,0.33636,-0.33083,0.13406,0.16288,0.19147,0.15286,0.0019074,0.0058171,0.084898
1,111,0.9375,-0.66153,0.054582,0.025016,0.13441,0.10687,0,0.0077995,0.021995
1,112,0.67544,-0.42171,0.060311,0.079307,0.12829,0.12568,0,0.0058312,0.044227
1,113,0.35183,-0.30105,0.028442,0.12385,0.12896,0.13359,0,0.0054509,0.040908
1,115,1.5946,-0.70991,0.13389,0.18033,0.20119,0.15521,0.0012819,0.012485,0.074082
1,116,0.81551,-0.56465,0,0.091794,0.1,0.12602,0.0051859,0.010596,0
1,119,0.7766,-0.34987,0.047806,0.035212,0.11933,0.11057,0.0051859,0.010317,0.030324
1,120,0.46896,-0.055892,0.05426,0.026372,0.12775,0.10643,0.0048649,0.002874,0.049542
1,121,0.41315,-0.15438,0.10459,0,0.17525,0.1,0.0059718,0.0037404,0.059383
1,122,0.65712,-0.43746,0.022829,0.029087,0.10923,0.10892,0,0.0094813,0.00051217
1,123,0.68582,-0.13334,0.025844,0,0.12103,0.1,0,0.014979,0.016908
1,128,0.56955,-0.55774,0.033377,0,0.13519,0.1,0,0.0059581,0.042725
1,129,1.2536,-0.023669,0.3691,0.078133,0.32088,0.12307,0.001056,0.0077119,0.29109
1,132,0.66052,-0.36153,0,0.032426,0.1,0.10882,0,0.0095099,0
1,134,0.62829,-0.36631,0.055388,0,0.13164,0.1,0,0.0072349,0.035174
1,137,0.62074,0.027224,0,0.032588,0.1,0.10795,0,0.0057403,0
1,138,0.84296,-0.046704,0.035027,0,0.1162,0.1,0,0.011294,0.051429
1,144,1.2572,-0.27003,0,0.084023,0.1,0.12323,0,0.010152,0
1,146,0.72824,-0.14618,0,0.031193,0.1,0.10936,0,0.010042,0
1,149,0.46927,-0.134,0,0.0588,0.1,0.11478,0,0.0094178,0
1,150,0.65416,0.12774,0,0.030366,0.1,0.1096,0,0.005926,0
1,151,0.47305,-0.24426,0.071999,0.022953,0.13981,0.1056,0,0.0064532,0.038814
1,153,0.76048,-0.11292,0.096567,0.029784,0.14174,0.10806,0,0.0077499,0.05712
1,154,0.26863,0.07866,0.072722,0.045825,0.13744,0.11516,0.0012308,0.0057829,0.070432
1,156,0.84432,0.019347,0.02748,0,0.11111,0.1,0,0.0062055,0.011544
1,157,0.86051,-0.40653,0.084259,0.16587,0.14398,0.15159,0.0027639,0.011417,0.063345
1,160,0.15234,-0.11315,0.032172,0,0.11301,0.1,0,0.0027597,0.010003
