file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801103714-slide-looming,looming,slide,1,original,0.48152,0.48412,0.92593,0.94456,0.44285,0.715,0.001366,-0.017179,0.49383,0.35635,0.35833,0.85602,0.00062282,1.0144,-0.010454,-0.04566,0.092182,-0.068885,0.1195,0.09297,-0.011749,NaN,0.00036351,0.015202,0.15029,-1.5289,-1.3545,0.52381,0.28571,0.059524,36,31,28,16,0.82196,0.59805,1.726e-09,0.022942,0.030554,0.015873,0.010412,0.011405,0.026825,0.7538,0.28143,0.29202,0.79755
180801103714-slide-looming,looming,slide,2,original,1.0405,0.83307,0.97531,1.3678,0.45834,0.795,0.31811,0.31095,0.74074,0.80664,0.38522,0.73809,4.9594e-05,1.0126,0.17728,-0.32804,-0.019127,0.02078,0.015061,0.021596,-0.046561,0.875,-3.5419e-05,0.11173,0.16421,-1.9429,-1.9857,0.31034,0.57471,0.057471,38,32,31,17,1.0381,0.62826,0.70615,0.038818,0.11532,0.011573,0.035124,0.024711,4.3368e-05,0.21093,0.29656,0.14915,0.86745
180801103714-slide-looming,looming,slide,3,original,0.96675,0.86752,0.96296,1.6779,0.81409,0.935,0.30428,0.30029,0.76543,0.84498,0.52202,0.3981,0.00016722,0.83151,-0.27774,-0.43964,0.10617,-0.044316,0.10147,0.12783,-0.010065,0.5102,0.00082831,0.15446,0.21414,-1.9959,-1.9762,0.18182,0.73864,0.056818,41,33,35,14,0.93113,0.48879,0.75362,0.082398,0.35437,0.0040104,0.019608,0.031803,3.3267e-05,0.038722,0.44712,0.10162,0.90906
180801103714-slide-looming,looming,slide,4,original,0.87272,0.89474,0.96296,1.5454,0.72198,0.935,0.33582,0.34814,0.79012,0.88404,0.50416,0.27936,-0.00012758,0.75523,-0.32272,-0.62565,0.097834,0.0089566,-0.03712,-0.02898,0.054531,0.5567,7.8657e-05,0.18373,0.25297,-2.0022,-1.9939,0.14773,0.77273,0.056818,41,31,36,23,1.3331,0.45008,0.32609,0.13296,0.44598,0.00071639,0.030431,0.0091365,2.2422e-05,0.017146,0.51434,0.16246,0.91876
180801103714-slide-looming,looming,slide,5,original,0.82078,0.89229,0.95062,1.6713,0.75496,0.93,0.32082,0.34085,0.75309,0.86772,0.52781,0.27277,-0.00025459,0.75835,-0.46255,-0.56081,0.078687,0.077846,-0.096805,-0.063761,0.19268,0.512,-0.00069313,0.16842,0.23886,-1.9939,-1.9647,0.11364,0.80682,0.056818,42,31,38,17,1.4276,0.5296,0.18885,0.15139,0.47337,0.00013216,0.030254,0.028303,2.7769e-05,0.019072,0.49963,0.24523,0.91666
180801103722-slide-looming,looming,slide,1,original,0.5619,0.55362,0.93827,1.0904,0.54154,0.76,-0.0039942,-0.021395,0.50617,0.37271,0.36805,0.81487,6.6523e-05,1.0097,-0.14421,-0.016638,-0.062594,0.022501,-0.054846,-0.060027,-0.0042353,NaN,1.2881e-05,0.051069,0.17622,-1.5468,-1.7178,0.53012,0.3253,0.060241,35,31,28,13,0.82999,0.58891,7.9866e-11,0.022989,0.029643,0.015817,0.010206,0.011435,0.033379,0.75244,0.25706,0.2938,0.81773
180801103722-slide-looming,looming,slide,2,original,0.92291,0.76873,0.97531,1.3882,0.62202,0.8,0.2632,0.25245,0.7037,0.67869,0.36738,0.60713,0.00028243,1.0119,-0.016796,-0.36685,0.02933,-0.11373,0.10938,0.030615,-0.026558,1,0.00016194,0.16451,0.21464,-1.9584,-1.8636,0.22989,0.68966,0.057471,32,29,26,16,0.9863,0.62779,0.89365,0.037908,0.11853,0.011736,0.011442,0.0076843,4.4517e-05,0.22473,0.32725,0.29573,0.86804
180801103722-slide-looming,looming,slide,3,original,1.0959,0.9726,0.98765,1.6449,0.61259,0.925,0.41859,0.41855,0.79012,0.98022,0.53742,0.30658,-0.00023621,0.84834,-0.048437,-0.57845,-0.11819,0.081452,-0.075221,-0.10713,0.019722,0.57692,-0.00028419,0.18574,0.24286,-2.0022,-1.9959,0.14773,0.77273,0.056818,39,31,36,13,1.1703,0.59707,0.43873,0.08786,0.38652,0.0038368,0.027697,0.01858,3.5496e-05,0.037938,0.32375,0.20694,0.91075
180801103722-slide-looming,looming,slide,4,original,0.89097,0.92941,1,1.6743,0.74474,0.94,0.37893,0.41163,0.82716,0.96611,0.57733,0.16749,-8.3341e-05,0.77161,-0.099835,-0.59247,0.02548,-0.020991,-0.051324,-0.062659,0.098516,0.46875,-0.00040842,0.19912,0.22725,-1.9939,-1.9939,0.11364,0.80682,0.056818,40,29,38,14,1.393,0.53439,0.1836,0.13365,0.45754,0.00068952,0.030069,0.030244,2.8463e-05,0.021307,0.1276,0.31967,0.93221
180801103722-slide-looming,looming,slide,5,original,0.92937,0.99543,1,1.8266,0.93111,0.95,0.41941,0.45566,0.82716,1.0027,0.60438,0.24576,-0.00015044,0.75181,-0.052485,-0.60931,-0.05657,-0.070502,-0.017295,0.014364,0.18766,0.51695,0.00010434,0.20467,0.25318,-1.9647,-1.9254,0.079545,0.84091,0.056818,40,29,38,14,1.95,0.64988,0.0013327,0.15121,0.49195,0.00013303,0.050999,0.014247,1.2994e-05,0.0086237,0.23266,0.34222,0.92198
