file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801104357-slide-rand,rand,slide,1,original,0.57385,0.59068,0.8642,1.1773,0.52889,0.82,0.061532,0.06536,0.5679,0.5547,0.50358,0.80344,0.0015371,1.0133,-0.083376,-0.11006,0.05177,-0.17546,0.17804,0.040614,-0.010807,NaN,0.00060674,0.0052336,0.16332,-1.3031,-1.6468,0.54762,0.29762,0.095238,32,29,27,11,0.85565,0.61226,1.9591e-08,0.022885,0.032425,0.015835,0.010649,0.011562,0.031606,0.74983,0.1691,0.4183,0.80343
180801104357-slide-rand,rand,slide,2,original,0.64472,0.62012,0.88889,1.1446,0.55287,0.865,0.090359,0.081944,0.59259,0.54752,0.4607,0.80357,-7.6862e-05,1.0044,-0.17057,-0.61584,-0.1186,-0.083448,-0.039105,-0.098414,-0.015026,NaN,-8.3537e-05,0.0030845,0.12942,-1.89,-1.9448,0.34884,0.53488,0.05814,34,31,28,13,0.88894,0.68446,0.028459,0.032934,0.069877,0.0135,0.013633,0.012243,0.00047969,0.62954,0.30817,0.32149,0.83879
180801104357-slide-rand,rand,slide,3,original,0.83455,0.76862,0.98765,1.3941,0.65851,0.85,0.10187,0.1072,0.61728,0.53695,0.41928,0.69195,4.8819e-05,0.9786,-0.13024,-0.73257,0.077545,0.014398,0.074548,0.092198,0.020928,0.3,8.1541e-05,0.020561,0.10282,-1.9657,-1.9496,0.21839,0.70115,0.057471,39,30,34,11,0.87594,0.77165,0.22107,0.057671,0.18224,0.0087779,0.011743,0.00719,7.5881e-05,0.27086,0.17683,0.15321,0.86088
180801104357-slide-rand,rand,slide,4,original,0.58533,0.60288,0.97531,1.1136,0.51871,0.84,0.031166,0.029197,0.53086,0.34585,0.33229,0.3677,-3.5174e-05,0.98541,-0.15889,-0.54879,0.11972,0.3919,-0.3011,0.02996,0.075494,0.40678,-0.0011823,0.012246,0.055857,-2.0022,-2.0012,0.14773,0.77273,0.056818,41,30,38,22,0.73288,0.52788,0.29104,0.088887,0.37868,0.0040311,0.025655,0.042508,0.00012204,0.14687,0.20424,0.21274,0.82204
180801104357-slide-rand,rand,slide,5,original,0.48876,0.51282,0.95062,0.93779,0.44192,0.805,0.032101,0.02801,0.49383,0.34824,0.35347,0.31742,5.7946e-06,0.97657,-0.012331,-0.60432,-0.082013,-0.01721,0.012525,0.0094442,0.14864,0.4875,-0.000184,0.010631,0.046617,-2.0022,-2.0012,0.14773,0.77273,0.056818,42,31,40,15,0.95507,0.69461,0.86035,0.11764,0.4685,0.001563,0.020603,0.026432,0.00014842,0.12419,0.24963,0.16187,0.84005
180801104404-slide-rand,rand,slide,1,original,0.53573,0.55249,0.85185,1.1116,0.55726,0.775,0.072013,0.078102,0.61728,0.54035,0.42642,0.81845,-0.0017515,1.0112,-0.013104,0.0060959,-0.12039,0.0086355,-0.08432,-0.10654,-0.014043,NaN,-0.00019961,0.0039928,0.15709,-1.689,-1.5622,0.43529,0.38824,0.058824,32,29,26,17,0.78413,0.52462,1.0173e-12,0.023083,0.026273,0.015751,0.011848,0.011089,0.022787,0.73688,0.17223,0.48209,0.81223
180801104404-slide-rand,rand,slide,2,original,0.54939,0.55375,0.88889,1.1229,0.58922,0.785,0.052218,0.05586,0.59259,0.47564,0.39412,0.77961,3.1647e-05,1.016,0.095679,-0.4293,-0.0020384,-0.031679,0.019684,-0.0052142,-0.0096512,1,-5.2047e-05,0.0053264,0.1081,-1.9796,-1.9359,0.27586,0.5977,0.057471,34,30,27,14,0.79235,0.64216,5.165e-05,0.033469,0.067116,0.013319,0.011469,0.013303,0.00016585,0.62746,0.11156,0.40734,0.82183
180801104404-slide-rand,rand,slide,3,original,0.66004,0.61199,0.95062,1.1537,0.55273,0.73,0.023669,0.011616,0.55556,0.36161,0.30436,0.64756,0.00011597,1.0226,0.060458,-0.46024,0.18534,-0.098239,0.20256,0.21705,-0.048634,0.63158,0.00032848,-0.0027088,0.047659,-1.9848,-1.9657,0.20455,0.71591,0.056818,40,31,34,18,0.63589,0.48191,0.031315,0.058336,0.23883,0.0079253,0.0070965,0.0066679,0.00013613,0.32198,0.26761,0.42765,0.77067
180801104404-slide-rand,rand,slide,4,original,0.51886,0.51027,0.93827,0.97038,0.47438,0.705,0.0006893,-0.0092348,0.44444,0.36584,0.43153,0.36393,-2.0174e-05,1.0281,-0.010569,-0.57594,-0.091139,0.085161,-0.096599,-0.065145,-0.045567,0.44068,-0.00024091,0.001228,0.044765,-1.9746,-2.0022,0.13793,0.78161,0.057471,43,32,39,15,0.37685,0.62721,0.0060848,0.091729,0.44005,0.0034296,0.024098,0.019436,0.00019881,0.21133,0.25435,0.40204,0.81423
180801104404-slide-rand,rand,slide,5,original,0.4719,0.49325,0.93827,0.97038,0.52372,0.75,0.0059758,-0.0014784,0.51852,0.36619,0.35203,0.26547,3.395e-05,1.0188,-0.115,-0.45739,0.11526,-0.010762,0.063628,0.133,0.031538,0.45679,0.00038509,-0.0018168,0.03624,-2.0012,-1.987,0.13636,0.78409,0.056818,42,31,40,14,0.62258,0.70059,0.1256,0.12065,0.48532,0.0012719,0.017218,0.029317,0.00023137,0.18841,0.2606,0.31588,0.77426
180801104412-slide-rand,rand,slide,1,original,0.44406,0.47571,0.8642,1.0069,0.50491,0.755,0.050686,0.051061,0.55556,0.43836,0.38348,0.80967,0.00021159,1.0133,0.067544,0.065483,0.081915,-0.026433,0.089325,0.084154,-0.017952,NaN,0.00022065,0.0034171,0.14303,-1.6595,-1.614,0.4881,0.34524,0.059524,36,32,28,18,0.78092,0.49734,2.4757e-13,0.022975,0.028124,0.015887,0.0093848,0.013185,0.028497,0.75124,0.30863,0.429,0.75168
180801104412-slide-rand,rand,slide,2,original,0.40807,0.42574,0.8642,0.85817,0.3946,0.74,0.067843,0.066951,0.60494,0.40657,0.29565,0.74649,-0.00030187,1.0171,-0.085917,-0.35588,-0.076451,0.20771,-0.1849,-0.072484,-0.0089708,NaN,-0.00019165,0.015317,0.1058,-1.9796,-1.9263,0.27586,0.5977,0.057471,32,29,26,18,0.7571,0.55929,2.8075e-06,0.032851,0.059474,0.0136,0.010536,0.0058314,0.00067501,0.66128,0.29052,0.47638,0.72252
180801104412-slide-rand,rand,slide,3,original,0.78368,0.70415,0.92593,1.2403,0.46667,0.81,0.10511,0.10829,0.62963,0.54004,0.42267,0.74664,-0.00011171,1.0072,-0.0048569,-0.61884,-0.18794,-0.032333,-0.1778,-0.19303,-0.025742,0.33333,-0.00049688,0.014415,0.076563,-1.9772,-1.9841,0.21591,0.70455,0.056818,39,32,32,14,0.6902,0.66383,0.0043128,0.058003,0.17487,0.0087429,0.027193,0.0075128,8.622e-05,0.31656,0.29322,0.34169,0.82282
180801104412-slide-rand,rand,slide,4,original,0.58765,0.59318,0.93827,1.0818,0.46466,0.75,0.021715,0.014635,0.51852,0.31084,0.26925,0.62251,-7.5073e-05,1.01,0.16059,-0.47181,-0.038496,0.052457,-0.03313,-0.04833,0.003917,0.43396,-0.00015924,-0.0033593,0.039437,-1.9959,-1.9959,0.18182,0.73864,0.056818,41,31,38,21,0.69623,0.54443,0.20278,0.090796,0.37625,0.0038697,0.032331,0.03253,0.00018297,0.22395,0.28553,0.44504,0.78623
180801104412-slide-rand,rand,slide,5,original,0.47218,0.49474,0.92593,0.92407,0.44945,0.735,0.02083,0.018954,0.5679,0.33983,0.30119,0.45025,0.00025458,1.0047,0.049154,-0.56829,-0.01441,-0.054342,0.030967,0.039553,0.18371,0.48101,0.00029277,-0.0064147,0.018231,-1.9939,-1.987,0.11364,0.80682,0.056818,42,31,41,11,0.70175,0.68874,0.18843,0.1201,0.47624,0.0015291,0.043062,0.028244,0.00019945,0.16804,0.2025,0.42167,0.77504
180801104420-slide-rand,rand,slide,1,original,0.54938,0.57169,0.8642,1.1822,0.59763,0.76,-0.010199,-0.027147,0.44444,0.42342,0.44086,0.85479,0.001292,1.013,-0.01859,0.0727,0.070613,-0.11091,0.14085,0.058224,-0.011785,NaN,0.0008201,0.018388,0.1919,-1.5454,-1.6218,0.5119,0.30952,0.059524,32,29,26,17,0.7788,0.56992,4.8772e-13,0.022957,0.028348,0.015876,0.0095449,0.015853,0.029075,0.75537,0.14491,0.4773,0.81022
180801104420-slide-rand,rand,slide,2,original,0.52516,0.53441,0.87654,1.0699,0.49505,0.68,0.042537,0.029583,0.5679,0.47513,0.38442,0.82666,-0.00025262,1.0077,-0.044442,-0.32782,0.011787,0.12716,-0.076057,0.012973,-0.0044484,NaN,-0.00011628,0.01091,0.1403,-1.9493,-1.9613,0.31034,0.56322,0.057471,27,25,23,20,0.818,0.52228,0.00093987,0.033412,0.069027,0.01342,0.020737,0.0038732,0.00049313,0.64371,0.10233,0.46167,0.79564
180801104420-slide-rand,rand,slide,3,original,0.75087,0.69032,0.92593,1.1288,0.40864,0.82,0.077354,0.082496,0.58025,0.50864,0.40826,0.74258,-2.8911e-07,0.9918,-0.069964,-0.53755,0.034876,-0.0030594,-0.046901,0.041337,-0.042453,0.4375,-7.6638e-05,0.011193,0.076784,-1.9717,-1.9884,0.2069,0.71264,0.057471,37,30,33,15,0.76791,0.62684,0.078455,0.05738,0.16391,0.0083112,0.010357,0.010529,9.0596e-05,0.26128,0.11542,0.36763,0.80062
180801104420-slide-rand,rand,slide,4,original,0.68254,0.67838,0.96296,1.1987,0.54178,0.775,0.087198,0.094966,0.64198,0.4165,0.33259,0.61593,0.00014235,0.97941,-0.011655,-0.56734,0.029696,-0.17882,0.10658,-0.017477,0.092334,0.44,0.00018521,0.020516,0.071202,-1.9994,-1.9792,0.17045,0.75,0.056818,41,30,38,17,0.59154,0.5871,0.07157,0.091725,0.35367,0.0038695,0.023095,0.012218,0.00013938,0.17479,0.09089,0.3414,0.79254
180801104420-slide-rand,rand,slide,5,original,0.57024,0.61379,0.97531,1.1407,0.55347,0.775,0.076171,0.086986,0.66667,0.36041,0.28219,0.50006,8.0755e-05,0.9748,0.07776,-0.63461,-0.11892,-0.11009,-0.056644,-0.13768,0.10035,0.4557,-0.0001527,0.013963,0.051725,-2.0022,-1.9774,0.14773,0.77273,0.056818,43,31,41,11,0.60261,0.7316,0.079665,0.11787,0.44769,0.0014561,0.017406,0.01326,0.00015482,0.13234,0.12305,0.37166,0.78204
180801104427-slide-rand,rand,slide,1,original,0.53411,0.55767,0.87654,1.0365,0.3827,0.8,0.13046,0.15359,0.65432,0.62872,0.424,0.84623,0.0024884,1.0158,0.15256,-0.12845,0.067514,-0.065752,0.10516,0.076321,-0.015367,NaN,9.9329e-05,0.0067572,0.16423,-1.5379,-1.7032,0.50588,0.31765,0.058824,28,27,25,11,0.85656,0.74197,6.6506e-09,0.022866,0.027013,0.015925,0.015565,0.0098958,0.032824,0.74884,0.077236,0.36999,0.82562
180801104427-slide-rand,rand,slide,2,original,0.56311,0.58375,0.90123,1.0087,0.30036,0.715,0.044722,0.040365,0.59259,0.4334,0.3593,0.8144,3.906e-05,1.017,0.087383,-0.43705,0.18961,0.029885,0.14901,0.18836,-0.032663,NaN,0.00010964,-0.019042,0.11477,-1.9792,-1.9092,0.27586,0.6092,0.057471,31,28,28,18,0.76061,0.56757,6.8751e-06,0.032872,0.07285,0.013563,0.0064388,0.0062136,0.00041306,0.61385,0.10233,0.2576,0.83998
180801104427-slide-rand,rand,slide,3,original,0.7403,0.71721,0.95062,1.2048,0.43639,0.775,0.07751,0.079673,0.60494,0.48959,0.35956,0.80691,-0.00019559,0.99487,0.0081097,-0.53617,0.0071714,0.12983,-0.04035,0.029385,-0.027226,0.3,-0.00010761,-0.013972,0.056231,-1.969,-1.9857,0.28736,0.5977,0.057471,38,29,34,15,0.55359,0.62135,0.00019451,0.054631,0.18003,0.0089725,0.0075873,0.0069963,7.6614e-05,0.27838,0.091289,0.43133,0.82814
180801104427-slide-rand,rand,slide,4,original,0.61889,0.60767,0.92593,1.1446,0.54499,0.81,0.049495,0.047059,0.55556,0.49091,0.45841,0.54326,-0.00015375,0.99121,0.039125,-0.56236,0.091726,0.13246,0.031371,0.10372,0.017854,0.37736,0.0002855,-0.0075628,0.032654,-1.9994,-1.9959,0.17045,0.75,0.056818,43,31,38,11,0.64173,0.66586,0.044993,0.089895,0.35133,0.0040959,0.013808,0.010795,9.7822e-05,0.12386,0.18738,0.47226,0.81294
180801104427-slide-rand,rand,slide,5,original,0.48414,0.50964,0.95062,0.98445,0.50137,0.72,0.020239,0.013623,0.53086,0.32977,0.3219,0.39186,-3.5584e-05,1.0131,-0.011838,-0.56718,-0.082421,-0.018751,0.016246,-0.067035,0.10711,0.4026,2.4237e-05,-0.0042086,0.033365,-1.9985,-1.9939,0.125,0.79545,0.056818,43,32,40,14,0.64465,0.64529,0.20687,0.11972,0.45824,0.0016093,0.014121,0.015012,0.00010685,0.087578,0.28304,0.39923,0.7876
