file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180930133008-slide-looming,looming,slide,1,original,-0.49686,-5.9269,0,-5.4787,0.44646,0.95,0.044712,0.16083,0.82716,0.32494,0.1386,-0.82907,-0.00055796,1.0078,-0.17311,-0.079638,-0.26095,-0.33759,0.075968,-0.27657,-0.024065,NaN,0.0002958,0.0029554,-0.1631,-1.5782,-1.5858,0.53012,0.3494,0.060241,43,35,1,5,0.88777,0.94539,4.9042e-09,0.02305,0.0311,0.015789,0.010206,0.013395,0.028925,0.74958,0.68861,0.24809,0.64634
180930133008-slide-looming,looming,slide,2,original,-0.44582,-12.4446,0,-10.3225,2.2875,0.96,-0.016407,-0.14791,0.35802,0.26756,0.38472,-0.5896,-0.00017523,0.98977,-0.5963,-0.11538,-0.14399,-0.25699,0.073759,-0.16988,0.090915,0.91667,0.00014337,0.15014,0.13891,-1.9501,-1.9448,0.2093,0.7093,0.05814,41,35,2,8,0.87892,0.89106,0.14971,0.039435,0.14146,0.011137,0.0073304,0.0064768,4.2733e-05,0.16685,0.15311,0.63182,-0.031971
180930133008-slide-looming,looming,slide,3,original,-0.40582,-9.725,0,-6.9357,3.0036,0.9,-0.038638,-0.39254,0.20988,0.21063,0.65372,-0.36235,6.0349e-05,0.79022,-0.4179,-0.17242,-0.19566,0.069659,-0.16421,-0.16603,0.40883,0.54098,-0.0037709,0.21499,0.1709,-1.9985,-2.0012,0.125,0.79545,0.056818,31,38,10,12,0.78317,0.79834,0.33683,0.10086,0.45112,0.0023681,0.025406,0.018779,3.0692e-05,0.027877,0.3629,0.70861,0.44484
180930133008-slide-looming,looming,slide,4,original,-0.37311,-8.1727,0,-6.4344,1.5794,0.89,-0.052232,-0.54497,0.14815,0.14463,0.74132,-0.47316,5.3401e-05,0.74177,-0.35689,-0.2705,0.11663,0.26674,-0.13591,-0.024236,0.43985,0.55263,-0.0037571,0.2099,0.14034,-2.0022,-2.0012,0.14773,0.77273,0.056818,31,39,11,11,0.61173,0.68221,0.1273,0.14262,0.49522,0.00031955,0.025317,0.016096,5.6375e-06,0.0038319,0.60469,0.56649,0.48906
180930133008-slide-looming,looming,slide,5,original,-0.3548,-7.6627,0,-6.0075,1.6385,0.88,-0.036407,-0.37644,0.25926,0.27375,0.72246,-0.46204,-0.00010447,0.73827,-0.30285,-0.32399,-0.083111,0.037452,0.032106,0.097692,0.53403,0.54962,0.0016524,0.20533,0.13709,-1.9647,-1.9478,0.079545,0.84091,0.056818,29,39,12,15,0.87288,0.75466,0.67823,0.15544,0.52031,6.0934e-05,0.031094,0.04649,1.9628e-06,0.00092386,0.81541,0.55835,0.52441
180930133020-slide-looming,looming,slide,1,original,-0.50501,-5.7204,0,-5.2575,0.41599,0.965,0.048257,0.16355,0.82716,0.31709,0.12992,-0.81249,-0.00083619,1.018,-0.060176,-0.11708,0.086389,-0.063168,0.10193,0.078836,-0.0085677,NaN,0.00043543,0.018025,-0.15506,-1.6219,-1.5318,0.47674,0.31395,0.05814,43,35,1,5,0.86779,0.89508,2.0118e-11,0.023101,0.028358,0.015783,0.0095359,0.012262,0.024175,0.75223,0.72553,0.21717,0.73653
180930133020-slide-looming,looming,slide,2,original,-0.42468,-12.6935,0,-10.5466,2.1019,0.965,0.016048,0.16423,0.65432,0.6872,0.5136,-0.65434,2.1308e-05,0.98794,-0.69077,-0.35838,0.024932,0.014525,0.02755,0.044164,0.078313,0.9,0.0004779,0.13923,0.10813,-1.934,-1.9601,0.2907,0.61628,0.05814,42,35,2,6,0.65791,0.79817,6.3198e-06,0.040669,0.14145,0.010931,0.014379,0.0077107,3.9508e-05,0.16038,0.38326,0.52804,0.32217
180930133020-slide-looming,looming,slide,3,original,-0.40729,-9.7342,0,-7.8688,1.5325,0.8,-0.042501,-0.42588,0.098765,-0.012095,0.36393,-0.30451,-0.00016669,0.77796,-0.65225,0.010668,-0.33536,-0.21263,-0.026211,-0.27321,0.25684,0.6087,-0.00046242,0.22683,0.16549,-1.991,-1.9959,0.19318,0.72727,0.056818,32,39,10,18,1.0162,0.60091,0.95141,0.10022,0.43707,0.0018006,0.017945,0.015083,1.4124e-05,0.012548,0.10065,0.63592,0.3647
180930133020-slide-looming,looming,slide,4,original,-0.38222,-8.0114,0,-6.1636,1.7803,0.89,-0.042373,-0.40746,0.19753,0.28593,0.76659,-0.55062,-5.9477e-05,0.74682,-0.30619,-0.24552,-0.34332,-0.085172,-0.12074,-0.19523,0.53613,0.50926,-0.0041543,0.23437,0.19693,-1.9774,-1.9939,0.090909,0.82955,0.056818,28,40,12,16,1.4462,0.66911,0.13674,0.14181,0.52814,0.00025721,0.047604,0.037784,1.8274e-05,0.012579,0.68343,0.28858,0.51188
180930133020-slide-looming,looming,slide,5,original,-0.35423,-7.8109,0,-5.7659,2.0532,0.91,-0.033305,-0.34699,0.2963,0.35276,0.77868,-0.53061,-8.4709e-05,0.73532,-0.26642,-0.19573,0.38877,-0.14796,0.11895,0.13419,0.63059,0.47887,0.0021015,0.23321,0.16377,-1.9647,-1.9774,0.079545,0.84091,0.056818,28,40,11,12,1.3377,0.7187,0.24129,0.15697,0.5126,5.2558e-05,0.033441,0.03254,1.0033e-05,0.0064466,0.79974,0.37243,0.59744
180930133032-slide-looming,looming,slide,1,original,-0.50335,-5.7053,0,-5.1727,0.51683,0.94,0.044755,0.15531,0.85185,0.31585,0.13064,-0.86972,-0.0010543,1.0137,-0.15017,-0.052888,0.043118,-0.14775,0.13107,0.039703,-0.0071946,NaN,0.00035777,0.028828,-0.15572,-1.5957,-1.8625,0.50588,0.29412,0.058824,43,35,1,3,0.9032,0.94079,2.3168e-07,0.022888,0.028632,0.015872,0.012945,0.010667,0.034504,0.75224,0.6581,0.19931,0.74208
180930133032-slide-looming,looming,slide,2,original,-0.45136,-8.5561,0,-7.6699,0.81953,0.93,-0.02201,-0.17939,0.34568,0.18781,0.34574,-0.80076,0.00023038,0.98948,-0.61991,-0.41362,-0.10479,0.051981,-0.09736,-0.10277,0.048719,0.75,-0.00023519,0.17275,0.072095,-1.9941,-1.9941,0.25287,0.63218,0.057471,40,35,2,7,1.0981,0.81467,0.21614,0.040958,0.12541,0.011235,0.017652,0.01842,4.1024e-05,0.18779,0.4633,0.44069,0.61111
180930133032-slide-looming,looming,slide,3,original,-0.41319,-9.026,0,-7.0413,2.0116,0.94,-0.061422,-0.58253,0.08642,-0.017274,0.54785,-0.3814,-0.00030609,0.69147,-0.35736,-0.10795,-0.2737,0.055145,-0.096865,-0.15043,0.50901,0.58442,-0.0040716,0.29639,0.24741,-2.0022,-2.0012,0.14773,0.77273,0.056818,30,39,12,11,0.60276,0.70958,0.11444,0.11125,0.45643,0.0015774,0.047863,0.031628,1.2083e-05,0.0098222,0.4005,0.62932,0.45756
180930133032-slide-looming,looming,slide,4,original,-0.39835,-8.1326,0,-6.4041,1.6409,0.89,-0.075593,-0.73312,0.049383,-0.15865,0.59313,-0.29032,0.00023567,0.65046,-0.20556,-0.27093,0.11368,0.29263,-0.02218,0.12422,0.61406,0.53043,3.7047e-05,0.2893,0.20614,-1.9774,-1.9774,0.090909,0.82955,0.056818,28,40,13,15,1.9225,0.77307,0.001842,0.14581,0.51287,0.00017243,0.037446,0.021926,1.9471e-05,0.013219,0.63312,0.43202,0.70201
180930133032-slide-looming,looming,slide,5,original,-0.37078,-7.5628,0,-6.1069,1.3163,0.895,-0.057155,-0.57321,0.11111,0.015445,0.49419,-0.37724,0.0006848,0.63372,-0.079326,-0.34716,-0.29716,0.14137,-0.16442,-0.14441,0.53157,0.44203,-0.004545,0.28526,0.17537,-1.9254,-1.9254,0.056818,0.86364,0.056818,28,39,14,10,2.0981,0.74465,0.00036136,0.15862,0.52735,2.9155e-05,0.045515,0.050452,2.5766e-05,0.016213,0.62742,0.58787,0.58288
180930133044-slide-looming,looming,slide,1,original,-0.49821,-5.9804,0,-5.4313,0.48686,0.975,0.040674,0.14885,0.82716,0.31285,0.12176,-0.83334,-0.00016347,1.0174,0.12694,0.093594,0.057882,0.052189,0.0073158,0.063152,-0.0040243,NaN,0.0002374,0.024818,-0.14385,-1.4889,-1.6244,0.52381,0.30952,0.083333,42,35,1,4,0.8872,0.97918,1.4836e-09,0.022994,0.027906,0.015855,0.0090346,0.0099141,0.031081,0.75351,0.69588,0.28972,0.64802
180930133044-slide-looming,looming,slide,2,original,-0.45235,-7.9313,0,-7.1898,0.68402,0.94,-0.0067955,-0.052902,0.46914,0.26746,0.32044,-0.6995,-0.00044695,1.0086,-0.29168,-0.20988,0.23681,0.17614,0.20003,0.2773,0.036454,0.28571,0.00060884,0.15177,0.0042167,-1.875,-1.9079,0.34884,0.54651,0.05814,41,35,2,7,0.88563,0.96785,0.14522,0.041036,0.12096,0.011171,0.013215,0.0063254,4.4827e-05,0.21347,0.61365,0.32222,0.6205
180930133044-slide-looming,looming,slide,3,original,-0.39944,-8.7139,0,-6.7764,1.7797,0.925,-0.047289,-0.44809,0.1358,0.096106,0.52562,-0.18963,4.9323e-05,0.75122,-0.28933,-0.15337,0.099748,-0.2871,0.22224,0.12404,0.36357,0.64384,0.0078984,0.16036,0.16042,-1.9994,-1.9994,0.17045,0.75,0.056818,31,39,10,15,0.913,0.69465,0.7377,0.11048,0.44161,0.0017012,0.051211,0.014737,3.33e-05,0.02805,0.27264,0.46375,0.28125
180930133044-slide-looming,looming,slide,4,original,-0.37624,-7.6071,0,-6.0899,1.4618,0.875,-0.051172,-0.49371,0.11111,0.092648,0.58864,-0.26049,0.00010398,0.6978,-0.43393,-0.34605,-0.15641,-0.014412,-0.022836,-0.054609,0.45808,0.58974,0.0013476,0.18388,0.1294,-1.9985,-1.987,0.125,0.79545,0.056818,29,40,12,18,1.6017,0.70365,0.057233,0.1459,0.50699,0.00018995,0.059148,0.019449,3.6235e-05,0.025301,0.6096,0.533,0.34012
180930133044-slide-looming,looming,slide,5,original,-0.3693,-7.1304,0,-5.6832,1.3077,0.89,-0.04696,-0.44304,0.12346,0.090813,0.55414,-0.27651,-0.00029121,0.69041,-0.43302,-0.30135,0.42381,-0.052597,0.071561,0.12593,0.58108,0.47518,0.00019282,0.17975,0.12513,-1.9647,-1.9647,0.079545,0.84091,0.056818,27,40,12,18,1.1258,0.638,0.70758,0.15672,0.53037,4.6296e-05,0.03598,0.016932,3.5169e-05,0.022806,0.75275,0.59494,0.43456
180930133055-slide-looming,looming,slide,1,original,-0.50487,-5.6715,0,-5.2324,0.37986,0.965,0.041206,0.14024,0.81481,0.29032,0.11608,-0.86092,-0.0008976,1.0119,0.10971,0.19602,0.089015,0.064993,0.02395,0.093695,-0.0040294,NaN,-1.9244e-05,0.043621,-0.15874,-1.6327,-1.5219,0.46429,0.39286,0.071429,43,35,1,4,0.9145,0.90305,9.4619e-06,0.022938,0.026335,0.015904,0.016736,0.013656,0.029641,0.75601,0.75621,0.2547,0.76349
180930133055-slide-looming,looming,slide,2,original,-0.45589,-8.3886,0,-7.7012,0.6277,0.985,-0.025168,-0.19869,0.2716,0.11481,0.2814,-0.75877,0.00039333,0.97452,-0.24401,-0.22053,0.025205,0.15777,-0.089592,0.0054626,0.012852,0.66667,-0.00031648,0.18015,0.071328,-1.9532,-1.9902,0.27586,0.63218,0.057471,41,35,2,5,0.87511,0.92105,0.058763,0.039311,0.12285,0.011383,0.017552,0.022083,4.0985e-05,0.18569,0.61811,0.42891,0.68595
