file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180930125904-slide-looming,looming,slide,1,original,0.46104,0.50025,0.8642,0.95496,0.4041,0.765,0.012314,0.0202,0.55556,0.42366,0.33715,0.81745,-0.00075845,1.0133,0.094127,0.23397,0.035328,0.043233,-0.011319,0.020743,-0.0077732,NaN,0.00028433,0.034673,0.20187,-1.5609,-1.5709,0.50602,0.37349,0.072289,36,32,30,15,0.81524,0.57646,2.1505e-10,0.022721,0.026093,0.01599,0.012077,0.010743,0.028938,0.75751,0.090649,0.41288,0.75831
180930125904-slide-looming,looming,slide,2,original,1.9931,1.6912,1,2.54,0.79647,0.96,1.0183,1.0192,0.90123,1.7532,0.67886,0.69642,0.000146,0.47309,0.060732,-0.487,-0.095135,-0.14378,0.09945,-0.0019811,0.39668,0.7069,0.00032182,0.40858,0.37824,-2.0012,-2.0022,0.13636,0.78409,0.056818,40,33,36,20,3.1447,0.52573,2.8469e-12,0.066704,0.48315,0.0051051,0.012411,0.016634,5.2244e-05,0.052794,0.42643,0.042453,0.89644
180930125904-slide-looming,looming,slide,3,original,1.3023,1.4894,1,2.4057,0.95127,0.975,0.64624,0.73785,0.87654,1.5119,0.73785,0.60684,0.00096849,0.35338,-0.24565,-0.57362,-0.50998,-0.48783,0.24371,-0.13412,0.45076,0.64815,0.0034816,0.449,0.41596,-2.0012,-1.9478,0.13636,0.78409,0.056818,39,31,37,18,3.2113,0.56167,1.2531e-10,0.11518,0.5646,0.00049109,0.026618,0.063221,4.4387e-05,0.031649,0.4586,-0.11808,0.91478
180930125904-slide-looming,looming,slide,4,original,1.2071,1.4275,0.98765,2.2219,0.80861,0.98,0.61084,0.69962,0.88889,1.2332,0.4445,0.51759,0.00034968,0.35632,-0.26554,-0.43652,-0.15477,-0.13985,0.051471,0.021946,0.29245,0.57971,0.00053896,0.43425,0.38809,-1.987,-1.9647,0.10227,0.81818,0.056818,41,31,38,14,3.5834,0.62988,7.8078e-14,0.13561,0.60886,0.00011828,0.01983,0.02735,2.0964e-05,0.013581,0.53751,-0.093499,0.89434
180930125904-slide-looming,looming,slide,5,original,1.2671,1.5257,1,2.2964,0.72315,0.98,0.66044,0.77336,0.93827,1.3362,0.53177,0.58066,0.0007752,0.35642,0.022614,-0.25967,-0.1188,-0.2681,0.20249,0.045697,0.31244,0.57047,0.0024468,0.42299,0.39859,-1.8953,-1.9254,0.045455,0.875,0.056818,42,32,39,22,4.5887,0.45423,3.9732e-16,0.14152,0.61449,5.3636e-05,0.029497,0.025993,1.7302e-05,0.010591,0.43182,0.058434,0.88823
180930125916-slide-looming,looming,slide,1,original,0.57802,0.60319,0.92593,1.087,0.46028,0.77,0.041087,0.055612,0.58025,0.48914,0.41544,0.82592,0.0011259,1.0095,0.080219,-0.014519,0.20078,0.028445,0.13005,0.20419,-0.0021737,NaN,0.00037305,0.018518,0.16085,-1.3478,-1.5905,0.59036,0.22892,0.072289,38,33,33,17,0.81366,0.56398,7.0237e-10,0.02299,0.027134,0.015865,0.01031,0.012296,0.026745,0.74154,0.081577,0.39371,0.79616
180930125916-slide-looming,looming,slide,2,original,2.1179,1.8438,1,2.631,0.68522,0.975,1.1106,1.1298,0.93827,1.9101,0.71204,0.73443,-2.2428e-05,0.49907,0.15573,-0.50454,-0.1737,0.10028,-0.15187,-0.091278,0.37727,0.63158,-0.0010198,0.42574,0.37939,-1.9959,-1.9762,0.18182,0.73864,0.056818,40,32,37,11,2.3892,0.71475,7.2788e-10,0.062101,0.4604,0.0055586,0.020899,0.034253,6.2562e-05,0.072149,0.22576,0.16524,0.88146
180930125916-slide-looming,looming,slide,3,original,1.3297,1.469,1,2.3909,0.89511,0.975,0.67618,0.75946,0.91358,1.437,0.64323,0.62627,0.0010362,0.34866,-0.059822,-0.56352,0.031153,-0.2619,0.16445,0.19748,0.27638,0.58036,0.0035052,0.45854,0.41588,-1.987,-1.9985,0.10227,0.81818,0.056818,40,30,38,19,4.0581,0.47771,1.5987e-16,0.1193,0.56348,0.00040694,0.041261,0.045744,3.0176e-05,0.02125,0.25325,0.12524,0.86679
180930125916-slide-looming,looming,slide,4,original,1.3715,1.5358,1,2.3152,0.82204,0.975,0.70915,0.80659,0.95062,1.2845,0.47251,0.62445,0.00068388,0.33999,-0.13146,-0.55414,-0.09653,-0.1752,0.076684,-0.078901,0.30228,0.56391,0.00082947,0.43929,0.41284,-1.9254,-1.9478,0.056818,0.86364,0.056818,41,31,38,14,3.3364,0.60556,1.7282e-11,0.13804,0.57605,9.0996e-05,0.029551,0.064894,1.9108e-05,0.012198,0.22063,0.24314,0.83388
180930125916-slide-looming,looming,slide,5,original,1.2915,1.511,1,2.3558,0.83324,0.965,0.68966,0.79943,0.97531,1.2845,0.41472,0.51369,0.00034548,0.34307,-0.16983,-0.38636,0.24156,-0.091469,0.12426,0.33626,0.28753,0.53378,0.0026324,0.43621,0.40197,-1.9478,-1.9254,0.068182,0.85227,0.056818,42,30,39,13,3.9271,0.65543,2.6683e-16,0.14485,0.58111,4.4064e-05,0.030091,0.067091,1.1483e-05,0.0072423,0.018466,0.30636,0.85608
