file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180930131303-decay-looming,looming,decay,1,original,0.021731,-0.082276,0.34568,0.12364,0.20029,0.455,-0.04887,-0.0020598,0.51852,0.17003,0.17003,-0.37539,-0.010619,1.01,0.062175,-0.29833,-0.073373,0.13732,-0.13428,-0.065837,-0.016784,0.50304,-0.00098422,0.026424,-0.0386,-1.8852,-1.9502,0.36047,0.5,0.05814,1,1,1,13,0.85034,0.5903,4.7415e-07,0.6072,0.027109,0.42341,0.050465,0.056461,0.052156,0.75743,0.0088535,0.42144,0.37325
180930131303-decay-looming,looming,decay,2,original,0.39696,0.40093,0.8642,0.78193,0.35242,0.72,0.10602,0.10832,0.64198,0.50829,0.3425,0.76815,0.023545,1.0151,-0.082936,0.032644,0.080455,-0.11262,0.14367,0.070211,-0.057128,NaN,0.0035196,0.10856,0.1899,-1.7695,-1.853,0.40698,0.40698,0.05814,30,28,23,13,0.77795,0.70406,3.2124e-09,0.032688,0.044338,0.01808,0.044673,0.093163,0.00034954,0.63322,0.27961,0.38378,0.72493
180930131303-decay-looming,looming,decay,3,original,0.39269,0.59438,0.77778,1.5724,1.2363,0.91,0.28335,0.34946,0.71605,1.122,0.98048,0.091452,0.027804,0.51063,0.45307,0.27589,0.72047,0.3046,0.39956,0.69564,0.24421,0.6875,0.26312,0.23672,0.24754,-1.7427,-1.8009,0.43529,0.43529,0.058824,40,21,35,17,0.71926,0.50417,0.56367,0.022339,0.5531,0.00090661,0.08536,0.085438,1.0229e-06,0.0018752,0.22273,0.61359,0.91325
180930131303-decay-looming,looming,decay,4,original,0.51821,0.7405,0.7037,1.9838,1.3878,0.955,0.47368,0.51937,0.74074,1.3745,1.1113,0.057696,0.021044,0.47821,0.63922,0.60798,0.73344,0.33856,0.48354,0.71353,0.2604,0.71951,0.4349,0.23155,0.22164,-1.6977,-1.8313,0.44706,0.43529,0.058824,36,17,32,10,1.0322,0.66648,0.91912,0.038297,0.55815,0.00012735,0.17168,0.04594,7.1575e-08,5.0003e-05,0.598,0.28271,0.8961
180930131303-decay-looming,looming,decay,5,original,0.60418,0.8363,0.71605,2.1288,1.3142,0.95,0.54521,0.57288,0.77778,1.469,1.022,0.19277,0.019589,0.51475,0.51826,0.61711,0.6099,0.19036,0.5232,0.60252,0.341,0.67826,0.41683,0.21098,0.23903,-1.7506,-1.5685,0.45238,0.40476,0.059524,31,15,31,9,1.2422,0.67538,0.34276,0.043343,0.5334,7.1954e-05,0.34772,0.022571,2.738e-09,3.801e-07,0.44398,0.36009,0.83737
180930131312-decay-looming,looming,decay,1,original,-0.030992,-0.082276,0.34568,0.12364,0.20029,0.43,-0.062554,-0.0020598,0.51852,0.17003,0.17003,-0.37539,-0.0025658,1.0112,-0.014964,-0.1352,0.11973,-0.080516,0.12756,0.11276,-0.0010284,0.50914,0.0020782,0.012724,-0.052856,-1.8733,-1.9359,0.30588,0.58824,0.058824,1,1,1,16,0.84949,0.6439,1.8113e-07,0.60381,0.027117,0.41532,0.056282,0.053769,0.049715,0.74302,-0.060303,0.42144,0.37325
180930131312-decay-looming,looming,decay,2,original,0.39034,0.40478,0.8642,0.76499,0.36211,0.66,0.00376,-0.0010278,0.53086,0.34758,0.33472,0.77161,0.02555,1.0296,-0.08026,-0.27234,0.10293,-0.1978,0.27074,0.10632,-0.039218,NaN,0.0057202,0.046758,0.15127,-1.83,-1.89,0.37209,0.47674,0.05814,24,25,22,14,0.74797,0.62672,2.2745e-12,0.031656,0.040942,0.017742,0.050376,0.085473,0.00050313,0.66624,0.050483,0.48396,0.66588
180930131312-decay-looming,looming,decay,3,original,0.26321,0.43172,0.79012,1.2333,0.95634,0.915,0.20519,0.25909,0.7037,0.89277,0.75272,0.092736,0.019176,0.55352,0.28862,0.47531,0.48574,0.21802,0.33035,0.51123,0.089343,0.65625,0.19398,0.21715,0.23154,-1.7205,-1.8385,0.42353,0.44706,0.058824,39,18,35,13,0.92224,0.69122,0.8523,0.014769,0.59999,0.00088739,0.15447,0.060997,1.1732e-06,0.0026318,0.16896,0.46303,0.88148
180930131312-decay-looming,looming,decay,4,original,0.42581,0.59145,0.69136,1.7428,1.4601,0.96,0.40526,0.43295,0.7284,1.1612,1.0147,0.094332,0.01231,0.46344,0.50232,0.49311,0.57136,0.26226,0.33336,0.58285,0.26846,0.69014,0.48488,0.2195,0.24251,-1.7434,-1.9135,0.47059,0.4,0.058824,35,16,32,16,1.4453,0.55742,0.32282,0.019792,0.63278,0.00010491,0.37874,0.023057,2.8105e-08,2.1668e-05,0.40168,0.33817,0.90126
180930131312-decay-looming,looming,decay,5,original,0.60343,0.70845,0.69136,2.1776,2.0004,0.97,0.48012,0.46889,0.7037,1.4276,1.2979,0.15035,0.013948,0.50102,0.56281,0.68994,0.56959,0.31667,0.36079,0.57046,0.35075,0.72165,0.69112,0.19905,0.21513,-1.6559,-1.8072,0.49412,0.36471,0.058824,34,19,31,13,1.154,0.56573,0.64821,0.025721,0.56906,4.8772e-05,0.42999,0.019592,5.0215e-09,8.6526e-07,0.48882,0.55142,0.92703
