file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,synfire,synHelp,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801103042-slide-vis,vis,slide,1,original,0.59447,0.61603,0.91358,1.1776,0.50192,0.72,0.0045062,-0.0095994,0.49383,0.40314,0.41616,0.86523,0.00060343,1.0127,0.29508,-0.1201,0.24415,0.27747,0.021594,0.23983,0.0081471,NaN,0.00014468,0.037432,0.18204,-1.5789,-1.5707,0.5,0.29762,0.059524,32,28,27,14,0.80243,0.66284,8.3764e-13,0.023022,0.029298,0.015847,0.012637,0.0098447,0.021361,0.74821,0.076455,0.39389,0.79616
180801103042-slide-vis,vis,slide,2,original,0.55331,0.53301,0.91358,0.99712,0.44183,0.8,-0.022611,-0.04762,0.48148,0.40172,0.42818,0.70748,0.00032483,1.0009,-0.043607,-0.35399,0.19248,-0.15843,0.2865,0.2428,-0.067956,0.5,0.00048545,0.042528,0.12799,-1.9594,-1.9461,0.28736,0.6092,0.057471,34,31,27,19,0.33911,0.53851,7.6607e-10,0.038489,0.12015,0.011362,0.022987,0.024139,4.7755e-05,0.2404,0.20884,0.27991,0.83414
180801103042-slide-vis,vis,slide,3,original,0.72319,0.70113,0.95062,1.5171,0.92059,0.93,0.10929,0.11445,0.5679,0.79252,0.71915,0.39636,-0.00037518,0.78883,0.14343,-0.50418,-0.17723,0.15691,-0.24316,-0.2095,0.029826,0.57377,-0.0017792,0.080951,0.15495,-1.9985,-2.0015,0.125,0.79545,0.056818,41,32,36,11,0.51973,0.60706,0.02413,0.088237,0.36814,0.0030857,0.024369,0.0313,2.7338e-05,0.026508,0.31417,0.29761,0.90566
180801103042-slide-vis,vis,slide,4,original,0.73282,0.7491,0.93827,1.5353,0.8774,0.895,0.16576,0.17647,0.67901,0.64167,0.44962,0.28311,4.518e-05,0.74924,0.1547,-0.47089,0.019584,0.049996,-0.054189,0.024415,0.11976,0.48387,-0.000298,0.078621,0.1344,-1.9774,-1.9939,0.090909,0.82955,0.056818,41,32,39,11,0.50005,0.72817,0.032537,0.12383,0.49688,0.00071934,0.031929,0.022921,3.1264e-05,0.023519,0.24136,0.43514,0.90797
180801103042-slide-vis,vis,slide,5,original,0.70628,0.78415,0.95062,1.6262,0.94084,0.895,0.17299,0.1967,0.71605,0.71734,0.57938,0.18219,-7.4487e-05,0.75565,-0.024713,-0.40879,0.15247,-0.034158,0.14118,0.14335,0.19816,0.46957,0.00093561,0.073802,0.12749,-1.9939,-1.987,0.11364,0.80682,0.056818,40,29,40,13,0.36624,0.60389,0.01514,0.14387,0.52318,0.00017376,0.027972,0.014457,3.111e-05,0.021341,0.22325,0.47418,0.89709
180801103049-slide-vis,vis,slide,1,original,0.63263,0.62678,0.92593,1.1238,0.42522,0.72,0.039869,0.039151,0.54321,0.49663,0.42994,0.87043,0.0027857,1.0124,0.18029,0.015051,0.22681,-0.099623,0.23173,0.21878,-0.0068134,NaN,0.00090216,0.039296,0.19328,-1.3584,-1.6933,0.52941,0.28235,0.094118,34,31,27,12,0.84978,0.7674,1.573e-09,0.022824,0.027687,0.01596,0.015779,0.010943,0.02416,0.75933,0.17623,0.32848,0.80705
180801103049-slide-vis,vis,slide,2,original,0.95724,0.83809,0.95062,1.4873,0.57245,0.915,0.16318,0.16591,0.59259,0.71356,0.51516,0.74968,-1.1527e-05,0.98176,0.028574,-0.36264,-0.12658,-0.012919,-0.073207,-0.14123,-0.14346,1,-5.9144e-05,0.11687,0.17437,-1.969,-1.9068,0.28736,0.5977,0.057471,38,31,30,19,0.49971,0.5807,9.4002e-06,0.039291,0.12888,0.011062,0.0031658,0.0042145,4.635e-05,0.19447,0.28808,0.1641,0.86878
180801103049-slide-vis,vis,slide,3,original,0.7887,0.72202,0.95062,1.4484,0.79696,0.94,0.19655,0.19483,0.61728,0.84354,0.69222,0.44176,-0.00018138,0.75026,-0.011671,-0.62363,0.18657,0.11797,0.039535,0.11944,-0.023344,0.54717,0.00011052,0.089084,0.14575,-1.9657,-1.9959,0.21839,0.70115,0.057471,40,33,33,14,0.44192,0.5633,0.015891,0.086042,0.40471,0.0033997,0.015324,0.02363,3.2599e-05,0.033529,0.35145,0.15648,0.88586
180801103049-slide-vis,vis,slide,4,original,0.74852,0.78587,0.97531,1.5913,0.97374,0.9,0.20119,0.22409,0.67901,0.80407,0.671,0.28798,0.00023527,0.67525,-0.080441,-0.47221,-0.13965,-0.019737,-0.052034,-0.019783,0.15596,0.46078,-0.00092931,0.10225,0.17302,-2.0022,-1.9985,0.14773,0.77273,0.056818,40,31,38,15,0.518,0.63215,0.074932,0.12658,0.48832,0.00071891,0.026128,0.034101,3.0379e-05,0.022118,0.21356,0.22812,0.87404
180801103049-slide-vis,vis,slide,5,original,0.7116,0.79005,0.97531,1.5235,0.81959,0.95,0.2078,0.24003,0.7037,0.85855,0.66079,0.28175,-6.4881e-05,0.6709,0.01065,-0.50097,0.018285,-0.038159,-0.021039,-0.10641,0.12486,0.464,-5.8984e-05,0.10518,0.16373,-2.0012,-1.9647,0.13636,0.78409,0.056818,41,31,41,12,0.47735,0.66644,0.027774,0.14805,0.5096,0.00015258,0.020118,0.024491,2.2252e-05,0.014383,0.15142,0.27441,0.87044
