file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801103714-slide-looming,looming,slide,1,original,0.37932,0.40786,0.8642,0.83027,0.436,0.705,0.036241,0.034914,0.55556,0.38771,0.30858,0.80746,0.00062282,1.0144,0.025893,0.035994,0.031394,-0.023316,0.048182,0.035457,-0.0062298,NaN,0.00011662,-1.5289,-1.3545,0.52381,0.28571,0.059524,34,30,27,15,0.79936,0.56651,3.6964e-12,0.022942,0.030554,0.015873,0.010412,0.011405,0.026825,0.7538,0.25164,0.35069,0.74951
180801103714-slide-looming,looming,slide,2,original,0.96569,0.79622,0.95062,1.2692,0.37856,0.785,0.26175,0.26888,0.7284,0.81469,0.45755,0.7444,4.9594e-05,1.0126,0.21637,-0.32701,0.014194,0.0038332,0.048553,0.047532,-0.037655,0.75,0.00017569,-1.9429,-1.9857,0.31034,0.57471,0.057471,38,31,30,16,1.2486,0.64633,0.013751,0.038818,0.11532,0.011573,0.035124,0.024711,4.3368e-05,0.21093,0.25493,0.12805,0.8658
180801103714-slide-looming,looming,slide,3,original,1.0097,0.87269,0.96296,1.576,0.72284,0.925,0.30262,0.29966,0.74074,0.96979,0.6772,0.43157,0.00016722,0.83151,-0.19251,-0.57942,0.20833,-0.0038762,0.12974,0.20006,-0.025649,0.57143,0.00084155,-1.9959,-1.9762,0.18182,0.73864,0.056818,41,33,34,17,1.1268,0.48917,0.61289,0.082398,0.35437,0.0040104,0.019608,0.031803,3.3267e-05,0.038722,0.47456,0.052363,0.90309
180801103714-slide-looming,looming,slide,4,original,0.92605,0.96263,0.97531,1.6859,0.76036,0.945,0.34432,0.37495,0.7284,0.93301,0.55486,0.33515,-0.00012758,0.75523,-0.20562,-0.6737,0.14595,0.010975,0.012664,0.02398,0.032904,0.52577,6.1674e-05,-2.0022,-1.9939,0.14773,0.77273,0.056818,40,32,36,15,1.3045,0.57302,0.28682,0.13296,0.44598,0.00071639,0.030431,0.0091365,2.2422e-05,0.017146,0.44048,0.11817,0.89657
180801103714-slide-looming,looming,slide,5,original,0.82271,0.91924,0.96296,1.6288,0.70224,0.945,0.31536,0.34694,0.75309,0.90877,0.52109,0.33278,-0.00025459,0.75835,-0.311,-0.57171,0.18557,0.085207,-0.028308,0.060703,0.16208,0.504,-0.00014269,-1.9939,-1.9647,0.11364,0.80682,0.056818,41,31,37,14,1.1451,0.65734,0.585,0.15139,0.47337,0.00013216,0.030254,0.028303,2.7769e-05,0.019072,0.56087,0.12976,0.9052
180801103722-slide-looming,looming,slide,1,original,0.36299,0.39632,0.87654,0.86146,0.49677,0.675,0.0033777,-0.0026776,0.49383,0.38722,0.39831,0.78344,6.6523e-05,1.0097,-0.18046,-0.03001,0.010991,0.074265,-0.039484,0.014438,-0.0059483,NaN,-9.6549e-05,-1.5468,-1.7178,0.53012,0.3253,0.060241,23,25,21,19,0.774,0.57468,2.1844e-12,0.022989,0.029643,0.015817,0.010206,0.011435,0.033379,0.75244,0.072286,0.37911,0.72825
180801103722-slide-looming,looming,slide,2,original,1.0724,0.85911,0.98765,1.4402,0.49204,0.81,0.36038,0.3659,0.7284,0.89693,0.43754,0.69683,0.00028243,1.0119,0.18606,-0.32917,0.027839,-0.15746,0.13944,0.041594,-0.03576,0.83333,0.00029236,-1.9584,-1.8636,0.22989,0.68966,0.057471,34,30,28,16,0.91505,0.57161,0.38573,0.037908,0.11853,0.011736,0.011442,0.0076843,4.4517e-05,0.22473,0.23835,0.065897,0.86893
180801103722-slide-looming,looming,slide,3,original,1.0967,1.0315,1,1.881,0.77105,0.93,0.36479,0.40592,0.79012,0.94767,0.5507,0.3716,-0.00023621,0.84834,0.023218,-0.52674,-0.049991,0.080942,-0.028435,-0.039673,0.023538,0.65385,-0.00013518,-2.0022,-1.9959,0.14773,0.77273,0.056818,41,32,36,13,1.0102,0.65846,0.96279,0.08786,0.38652,0.0038368,0.027697,0.01858,3.5496e-05,0.037938,0.31548,0.029984,0.91665
180801103722-slide-looming,looming,slide,4,original,0.94413,0.96777,0.98765,1.6606,0.68652,0.955,0.36862,0.40932,0.77778,1.0428,0.65733,0.23273,-8.3341e-05,0.77161,-0.072008,-0.55796,-0.022435,-0.05386,-0.016388,-0.088184,0.12039,0.54167,-0.00014066,-1.9939,-1.9939,0.11364,0.80682,0.056818,41,31,37,21,0.96538,0.57437,0.91239,0.13365,0.45754,0.00068952,0.030069,0.030244,2.8463e-05,0.021307,0.25171,0.077492,0.94456
180801103722-slide-looming,looming,slide,5,original,0.91505,1.0095,0.98765,1.7663,0.80411,0.93,0.36268,0.41962,0.76543,1.0386,0.70085,0.24214,-0.00015044,0.75181,-0.036864,-0.57395,-0.095348,-0.087359,0.052641,0.034177,0.18338,0.5339,0.00038459,-1.9647,-1.9254,0.079545,0.84091,0.056818,41,32,38,12,1.0818,0.70125,0.75262,0.15121,0.49195,0.00013303,0.050999,0.014247,1.2994e-05,0.0086237,0.33731,0.13222,0.94083
180801103730-slide-looming,looming,slide,1,original,0.50844,0.55059,0.93827,0.98275,0.42106,0.73,0.090178,0.099416,0.62963,0.51841,0.36492,0.80665,-0.0033786,1.0147,0.015141,0.030867,-0.20623,0.19861,-0.29357,-0.20932,-0.010618,NaN,-0.00071537,-1.3888,-1.6108,0.51765,0.31765,0.10588,31,28,26,15,0.83918,0.6073,7.7347e-09,0.022915,0.025971,0.015854,0.0087586,0.010211,0.025701,0.75159,0.1023,0.31109,0.77264
180801103730-slide-looming,looming,slide,2,original,0.83233,0.72892,0.96296,1.1666,0.32661,0.79,0.21081,0.20281,0.74074,0.64276,0.38288,0.65001,0.00019783,1.0361,0.14029,-0.45081,0.15765,0.014814,0.12836,0.17252,-0.052639,1,0.00027722,-1.8702,-1.9594,0.32558,0.53488,0.05814,36,30,28,21,0.93825,0.46934,0.54667,0.037595,0.093594,0.011767,0.014103,0.0060121,4.5656e-05,0.27,0.29217,0.20131,0.86375
