file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801103042-slide-vis,vis,slide,1,original,0.41563,0.45272,0.87654,0.96462,0.51304,0.72,-0.024134,-0.035761,0.41975,0.28935,0.30592,0.811,0.00060343,1.0127,0.30731,0.076054,0.27123,0.37699,-0.021414,0.26677,0.0058453,NaN,-4.3577e-05,-1.5789,-1.5707,0.5,0.29762,0.059524,36,32,30,17,0.77654,0.53913,1.1687e-13,0.023022,0.029298,0.015847,0.012637,0.0098447,0.021361,0.74821,0.23372,0.54015,0.70935
180801103042-slide-vis,vis,slide,2,original,0.6801,0.64004,0.95062,1.2394,0.56237,0.85,0.033454,0.018873,0.53086,0.50665,0.47662,0.70324,0.00032483,1.0009,-0.018798,-0.46284,0.1546,-0.056767,0.17206,0.19046,-0.07479,0.83333,0.00043159,-1.9594,-1.9461,0.28736,0.6092,0.057471,36,32,29,15,0.5446,0.60011,1.4522e-06,0.038489,0.12015,0.011362,0.022987,0.024139,4.7755e-05,0.2404,0.29556,0.3251,0.81971
180801103042-slide-vis,vis,slide,3,original,0.71073,0.68983,0.91358,1.3862,0.756,0.905,0.13063,0.12238,0.53086,0.77186,0.72675,0.34636,-0.00037518,0.78883,0.085556,-0.47342,-0.14889,0.19413,-0.22601,-0.13883,0.11407,0.67213,-0.0013472,-1.9985,-2.0015,0.125,0.79545,0.056818,40,31,34,13,0.278,0.65595,0.0007163,0.088237,0.36814,0.0030857,0.024369,0.0313,2.7338e-05,0.026508,0.44139,0.15644,0.90232
180801103042-slide-vis,vis,slide,4,original,0.69466,0.69755,0.93827,1.4275,0.8374,0.865,0.16976,0.1777,0.62963,0.82202,0.7294,0.18902,4.518e-05,0.74924,0.05104,-0.53837,0.074521,-0.0094133,-0.0053326,0.076517,0.21592,0.47312,-6.3102e-05,-1.9774,-1.9939,0.090909,0.82955,0.056818,40,31,37,20,0.3679,0.49349,0.033243,0.12383,0.49688,0.00071934,0.031929,0.022921,3.1264e-05,0.023519,0.34137,0.25253,0.89722
180801103042-slide-vis,vis,slide,5,original,0.68353,0.7541,0.92593,1.5769,0.91838,0.9,0.18113,0.20348,0.64198,0.86584,0.74094,0.14025,-7.4487e-05,0.75565,-0.045911,-0.41494,0.086815,0.0074346,0.077943,0.064743,0.27329,0.46957,0.00038186,-1.9939,-1.987,0.11364,0.80682,0.056818,41,30,39,12,0.43643,0.65531,0.030787,0.14387,0.52318,0.00017376,0.027972,0.014457,3.111e-05,0.021341,0.3611,0.18966,0.92372
180801103049-slide-vis,vis,slide,1,original,0.40964,0.43222,0.8642,0.93041,0.52106,0.715,-0.042865,-0.051206,0.40741,0.27546,0.3377,0.82308,0.0027857,1.0124,0.22844,0.043794,0.23451,-0.0065946,0.17023,0.22734,-0.0089618,NaN,0.00039585,-1.3584,-1.6933,0.52941,0.28235,0.094118,35,32,29,14,0.85433,0.71242,1.9304e-08,0.022824,0.027687,0.01596,0.015779,0.010943,0.02416,0.75933,0.24613,0.5897,0.62066
180801103049-slide-vis,vis,slide,2,original,0.88047,0.78059,0.97531,1.3736,0.57178,0.93,0.13998,0.14654,0.61728,0.73181,0.59539,0.72794,-1.1527e-05,0.98176,0.043285,-0.32287,-0.17499,0.0054403,-0.11702,-0.20616,-0.14907,1,-7.5703e-05,-1.969,-1.9068,0.28736,0.5977,0.057471,37,31,29,16,0.68262,0.69325,0.0019744,0.039291,0.12888,0.011062,0.0031658,0.0042145,4.635e-05,0.19447,0.31207,0.25622,0.80812
180801103049-slide-vis,vis,slide,3,original,0.82777,0.7482,0.95062,1.5509,0.81709,0.97,0.19329,0.19777,0.5679,0.83873,0.74597,0.37376,-0.00018138,0.75026,-0.049154,-0.54977,0.22521,0.17442,0.022975,0.13771,0.0387,0.58491,0.00010194,-1.9657,-1.9959,0.21839,0.70115,0.057471,42,33,35,12,0.4907,0.65806,0.012909,0.086042,0.40471,0.0033997,0.015324,0.02363,3.2599e-05,0.033529,0.45011,0.064602,0.88597
180801103049-slide-vis,vis,slide,4,original,0.79878,0.83468,0.97531,1.5784,0.83836,0.915,0.21865,0.25002,0.60494,0.90266,0.76213,0.26903,0.00023527,0.67525,-0.11099,-0.54995,-0.15682,-0.084969,0.015189,-0.031991,0.15104,0.43137,8.0628e-05,-2.0022,-1.9985,0.14773,0.77273,0.056818,41,32,38,17,0.82902,0.5009,0.5553,0.12658,0.48832,0.00071891,0.026128,0.034101,3.0379e-05,0.022118,0.29401,-0.0052229,0.91416
180801103049-slide-vis,vis,slide,5,original,0.79316,0.85897,0.97531,1.685,0.9887,0.925,0.26301,0.30051,0.7037,0.95066,0.73466,0.25462,-6.4881e-05,0.6709,-0.052412,-0.57579,0.0078027,-0.10901,0.025243,-0.092507,0.20629,0.48,0.0001631,-2.0012,-1.9647,0.13636,0.78409,0.056818,42,31,40,13,0.52552,0.62737,0.063404,0.14805,0.5096,0.00015258,0.020118,0.024491,2.2252e-05,0.014383,0.26487,0.088056,0.9073
