file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180930133008-slide-looming,looming,slide,1,original,-0.53402,-5.0351,0,-4.7103,0.29174,0.965,-0.048431,-0.17434,0.049383,-0.021081,0.11801,-0.80826,-0.00055796,1.0078,-0.15178,-0.17997,-0.21743,-0.28551,0.061387,-0.23238,-0.020806,NaN,8.2469e-05,-1.5782,-1.5858,0.53012,0.3494,0.060241,44,34,2,5,0.88015,0.91558,1.0481e-09,0.02305,0.0311,0.015789,0.010206,0.013395,0.028925,0.74958,0.70159,0.21525,0.68086
180930133008-slide-looming,looming,slide,2,original,-0.44792,-10.0999,0,-8.8654,1.3011,0.92,-0.031,-0.24953,0.22222,0.11548,0.34192,-0.6536,-0.00017523,0.98977,-0.51612,-0.12936,-0.16544,-0.31665,0.10542,-0.17449,0.08291,0.66667,0.00016512,-1.9501,-1.9448,0.2093,0.7093,0.05814,40,34,2,9,0.86841,0.88992,0.13788,0.039435,0.14146,0.011137,0.0073304,0.0064768,4.2733e-05,0.16685,0.29604,0.41063,0.29948
180930133008-slide-looming,looming,slide,3,original,-0.40535,-9.5208,0,-6.8121,2.8618,0.86,-0.040426,-0.41851,0.28395,0.33959,0.78559,-0.31868,6.0349e-05,0.79022,-0.45094,-0.12546,-0.28768,0.15644,-0.213,-0.18075,0.44597,0.4918,-0.002425,-1.9985,-2.0012,0.125,0.79545,0.056818,31,38,11,14,0.6724,0.74497,0.14835,0.10086,0.45112,0.0023681,0.025406,0.018779,3.0692e-05,0.027877,0.2608,0.56163,0.6247
180930133008-slide-looming,looming,slide,4,original,-0.37855,-8.0101,0,-6.0023,1.9134,0.885,-0.062309,-0.64841,0.098765,0.023574,0.69767,-0.44566,5.3401e-05,0.74177,-0.3282,-0.28176,0.16456,0.24569,-0.10728,-0.0072767,0.5511,0.50877,-0.0014545,-2.0022,-2.0012,0.14773,0.77273,0.056818,30,38,12,11,1.061,0.77598,0.81565,0.14262,0.49522,0.00031955,0.025317,0.016096,5.6375e-06,0.0038319,0.61928,0.51223,0.67221
180930133008-slide-looming,looming,slide,5,original,-0.35941,-7.6608,0,-5.9623,1.555,0.915,-0.047888,-0.50477,0.19753,0.18829,0.6981,-0.43682,-0.00010447,0.73827,-0.20296,-0.33849,-0.18142,0.091413,-0.055971,-0.0029357,0.61293,0.48092,-0.0008199,-1.9647,-1.9478,0.079545,0.84091,0.056818,29,39,12,14,2.5658,0.59569,1.3326e-06,0.15544,0.52031,6.0934e-05,0.031094,0.04649,1.9628e-06,0.00092386,0.71202,0.5479,0.6065
180930133020-slide-looming,looming,slide,1,original,-0.51894,-5.1171,0,-4.7592,0.36582,0.895,-0.053357,-0.21915,0.049383,-0.033983,0.16081,-0.85776,-0.00083619,1.018,-0.056506,-0.12115,0.046942,-0.075979,0.082902,0.037821,-0.0099913,NaN,0.00013749,-1.6219,-1.5318,0.47674,0.31395,0.05814,43,34,1,3,0.89426,0.97879,1.1272e-08,0.023101,0.028358,0.015783,0.0095359,0.012262,0.024175,0.75223,0.66794,0.18767,0.71289
180930133020-slide-looming,looming,slide,2,original,-0.43479,-11.1306,0,-9.5749,1.6079,0.89,0.0072116,0.056247,0.53086,0.48213,0.44979,-0.75681,2.1308e-05,0.98794,-0.63944,-0.31622,0.0064146,0.029157,0.0067419,0.028516,0.068474,0.9,1.3922e-05,-1.934,-1.9601,0.2907,0.61628,0.05814,41,34,2,9,0.70681,0.79499,0.00091363,0.040669,0.14145,0.010931,0.014379,0.0077107,3.9508e-05,0.16038,0.47692,0.38467,0.60755
180930133020-slide-looming,looming,slide,3,original,-0.40897,-9.104,0,-6.8572,2.2834,0.875,-0.04539,-0.43885,0.14815,0.046304,0.51546,-0.33678,-0.00016669,0.77796,-0.55478,-0.1403,-0.38354,-0.25165,-0.066456,-0.34012,0.36022,0.55072,-0.00064478,-1.991,-1.9959,0.19318,0.72727,0.056818,31,38,11,9,1.1517,0.88809,0.43618,0.10022,0.43707,0.0018006,0.017945,0.015083,1.4124e-05,0.012548,0.2199,0.52256,0.47254
180930133020-slide-looming,looming,slide,4,original,-0.38081,-7.9168,0,-6.2285,1.6926,0.865,-0.051065,-0.50302,0.16049,0.10108,0.64161,-0.5715,-5.9477e-05,0.74682,-0.32062,-0.32508,-0.372,-0.030882,-0.15338,-0.2111,0.57033,0.4537,-0.0024597,-1.9774,-1.9939,0.090909,0.82955,0.056818,28,39,12,13,1.2119,0.74655,0.44125,0.14181,0.52814,0.00025721,0.047604,0.037784,1.8274e-05,0.012579,0.64336,0.44192,0.58159
180930133020-slide-looming,looming,slide,5,original,-0.35805,-7.6995,0,-6.2957,1.3118,0.845,-0.044314,-0.46367,0.23457,0.25676,0.82983,-0.52777,-8.4709e-05,0.73532,-0.24539,-0.20818,0.36182,-0.17039,0.13099,0.143,0.62343,0.5,0.0014163,-1.9647,-1.9774,0.079545,0.84091,0.056818,29,39,11,15,1.4356,0.65288,0.19044,0.15697,0.5126,5.2558e-05,0.033441,0.03254,1.0033e-05,0.0064466,0.53122,0.28167,0.51123
