file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180930125904-slide-looming,looming,slide,1,original,0.49608,0.53413,0.91358,1.0571,0.45474,0.76,0.045739,0.058968,0.54321,0.48794,0.4191,0.80324,-0.00075845,1.0133,0.13015,0.0095749,0.020103,0.09628,-0.05301,0.0092858,-0.012357,NaN,-0.00015441,-1.5609,-1.5709,0.50602,0.37349,0.072289,37,32,29,17,0.79909,0.54158,2.6984e-12,0.022721,0.026093,0.01599,0.012077,0.010743,0.028938,0.75751,0.16058,0.47508,0.83088
180930125904-slide-looming,looming,slide,2,original,1.8637,1.748,1,2.7676,0.98548,0.965,0.88352,0.94873,0.91358,1.7387,0.71268,0.68032,0.000146,0.47309,0.0063761,-0.40933,-0.16142,-0.15936,0.024246,-0.12403,0.37652,0.63793,0.00010363,-2.0012,-2.0022,0.13636,0.78409,0.056818,39,32,35,12,2.6362,0.70277,5.537e-12,0.066704,0.48315,0.0051051,0.012411,0.016634,5.2244e-05,0.052794,0.39822,0.11828,0.91183
180930125904-slide-looming,looming,slide,3,original,1.4338,1.6127,1,2.9258,1.4167,0.98,0.67692,0.77093,0.8642,1.4612,0.65996,0.5617,0.00096849,0.35338,-0.36691,-0.51983,-0.55834,-0.37382,0.10968,-0.19644,0.46855,0.58333,0.0014254,-2.0012,-1.9478,0.13636,0.78409,0.056818,39,31,36,11,2.6495,0.69381,7.2901e-09,0.11518,0.5646,0.00049109,0.026618,0.063221,4.4387e-05,0.031649,0.4919,0.065275,0.90564
180930125904-slide-looming,looming,slide,4,original,1.1965,1.511,1,2.4896,1.0157,0.98,0.56557,0.6814,0.90123,1.2175,0.45083,0.54765,0.00034968,0.35632,-0.24967,-0.46421,-0.20493,-0.11227,0.011637,0.0077507,0.35496,0.55797,8.0392e-05,-1.987,-1.9647,0.10227,0.81818,0.056818,41,30,37,19,4.6148,0.53249,3.0543e-19,0.13561,0.60886,0.00011828,0.01983,0.02735,2.0964e-05,0.013581,0.43134,0.049333,0.89076
180930125904-slide-looming,looming,slide,5,original,1.3221,1.6191,1,2.6579,1.1087,0.97,0.64904,0.77446,0.91358,1.3544,0.56412,0.58604,0.0007752,0.35642,-0.011542,-0.22761,-0.082596,-0.32615,0.24466,0.1167,0.38401,0.56376,0.0020921,-1.8953,-1.9254,0.045455,0.875,0.056818,41,31,38,15,3.3299,0.57298,9.3068e-11,0.14152,0.61449,5.3636e-05,0.029497,0.025993,1.7302e-05,0.010591,0.30862,0.27057,0.91539
180930125916-slide-looming,looming,slide,1,original,0.59685,0.60663,0.91358,1.1351,0.54051,0.74,0.055915,0.056355,0.5679,0.49087,0.40064,0.84112,0.0011259,1.0095,0.060627,-0.018377,0.18326,0.018325,0.12496,0.18241,-0.0069018,NaN,0.00039931,-1.3478,-1.5905,0.59036,0.22892,0.072289,35,30,28,11,0.86301,0.64089,1.087e-07,0.02299,0.027134,0.015865,0.01031,0.012296,0.026745,0.74154,0.17422,0.46004,0.84733
180930125916-slide-looming,looming,slide,2,original,2.0616,1.8784,1,2.6698,0.88313,0.95,0.97474,1.042,0.93827,1.6513,0.53671,0.67259,-2.2428e-05,0.49907,0.11725,-0.47674,-0.17938,0.0088619,-0.091836,-0.078874,0.34441,0.68421,-0.00055042,-1.9959,-1.9762,0.18182,0.73864,0.056818,40,31,36,13,2.7045,0.61718,9.5845e-13,0.062101,0.4604,0.0055586,0.020899,0.034253,6.2562e-05,0.072149,0.28274,0.065895,0.89123
180930125916-slide-looming,looming,slide,3,original,1.291,1.5361,1,2.6145,1.1449,0.99,0.61903,0.71937,0.92593,1.315,0.60038,0.59326,0.0010362,0.34866,0.0207,-0.62287,-0.11728,-0.22854,0.059179,0.0088388,0.254,0.52679,0.00093839,-1.987,-1.9985,0.10227,0.81818,0.056818,40,30,37,14,4.5323,0.56787,2.7606e-23,0.1193,0.56348,0.00040694,0.041261,0.045744,3.0176e-05,0.02125,0.32788,0.15803,0.90382
180930125916-slide-looming,looming,slide,4,original,1.3869,1.585,1,2.6093,1.0963,0.98,0.72528,0.83246,0.97531,1.4437,0.59779,0.53959,0.00068388,0.33999,-0.062587,-0.5298,-0.12335,-0.083551,0.039428,-0.10071,0.31787,0.57143,0.00047401,-1.9254,-1.9478,0.056818,0.86364,0.056818,40,30,37,13,3.3598,0.55126,7.0466e-12,0.13804,0.57605,9.0996e-05,0.029551,0.064894,1.9108e-05,0.012198,0.11706,0.18388,0.90393
180930125916-slide-looming,looming,slide,5,original,1.1984,1.4941,1,2.3312,0.9121,0.975,0.62478,0.75014,0.96296,1.3269,0.57901,0.48931,0.00034548,0.34307,-0.17873,-0.37254,0.20047,0.016649,0.15683,0.34072,0.37042,0.51351,0.0018735,-1.9478,-1.9254,0.068182,0.85227,0.056818,40,29,38,13,3.6322,0.55558,1.8603e-14,0.14485,0.58111,4.4064e-05,0.030091,0.067091,1.1483e-05,0.0072423,0.051877,0.213,0.88911
