file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180930131303-decay-looming,looming,decay,1,original,-0.04028,-0.052871,0.4321,0.14112,0.16295,0.49,0.0013767,-0.0041859,0.46914,0.2137,0.2137,-0.41477,-0.010619,1.01,0.08885,-0.30314,0.11646,0.0018471,0.075804,0.11536,-0.021508,0.50638,0.00097853,-1.8852,-1.9502,0.36047,0.5,0.05814,1,1,2,15,0.8356,0.56565,1.005e-08,0.6072,0.027109,0.42341,0.050465,0.056461,0.052156,0.75743,-0.015982,0.13565,0.64391
180930131303-decay-looming,looming,decay,2,original,0.43344,0.41875,0.8642,0.92953,0.54442,0.745,0.11191,0.12113,0.64198,0.58094,0.47932,0.69892,0.023545,1.0151,-0.066919,0.046653,0.16328,-0.13446,0.21824,0.15088,-0.033287,NaN,0.0077659,-1.7695,-1.853,0.40698,0.40698,0.05814,32,30,24,11,0.89984,0.72623,0.0052486,0.032688,0.044338,0.01808,0.044673,0.093163,0.00034954,0.63322,0.30937,0.504,0.75447
180930131303-decay-looming,looming,decay,3,original,0.39367,0.61547,0.81481,1.6956,1.365,0.935,0.25008,0.3092,0.74074,0.94495,0.78616,0.10541,0.027804,0.51063,0.44372,0.41591,0.70663,0.25416,0.43302,0.69517,0.3171,0.71875,0.22665,-1.7427,-1.8009,0.43529,0.43529,0.058824,38,19,34,12,1.3099,0.54519,0.47465,0.022339,0.5531,0.00090661,0.08536,0.085438,1.0229e-06,0.0018752,0.1983,0.75804,0.92026
180930131303-decay-looming,looming,decay,4,original,0.63502,0.84414,0.82716,2.4713,2.0256,0.92,0.45067,0.49919,0.82716,1.2965,1.0054,0.069354,0.021044,0.47821,0.5893,0.45825,0.68851,0.32968,0.48174,0.66406,0.34187,0.80488,0.39841,-1.6977,-1.8313,0.44706,0.43529,0.058824,35,18,32,18,1.6892,0.50639,0.10534,0.038297,0.55815,0.00012735,0.17168,0.04594,7.1575e-08,5.0003e-05,0.41332,0.67611,0.89228
180930131303-decay-looming,looming,decay,5,original,0.66597,0.88346,0.80247,2.2348,1.3263,0.945,0.53267,0.56227,0.85185,1.329,0.88141,0.20248,0.019589,0.51475,0.52684,0.62854,0.61185,0.19573,0.53224,0.61573,0.28363,0.7913,0.49237,-1.7506,-1.5685,0.45238,0.40476,0.059524,31,14,31,10,1.8349,0.6117,0.016426,0.043343,0.5334,7.1954e-05,0.34772,0.022571,2.738e-09,3.801e-07,0.51147,0.55165,0.75555
180930131312-decay-looming,looming,decay,1,original,0.060176,-0.052871,0.46914,0.14112,0.16295,0.495,0.044086,-0.0041859,0.45679,0.2137,0.2137,-0.41477,-0.0025658,1.0112,-0.10147,-0.15725,0.050676,-0.14795,0.13868,0.053075,-0.016344,0.50666,0.001941,-1.8733,-1.9359,0.30588,0.58824,0.058824,1,1,1,20,0.77049,0.55628,1.5133e-13,0.60381,0.027117,0.41532,0.056282,0.053769,0.049715,0.74302,0.11435,0.13565,0.64391
180930131312-decay-looming,looming,decay,2,original,0.44815,0.43818,0.83951,0.86936,0.38853,0.695,0.056876,0.058875,0.5679,0.49663,0.45517,0.83839,0.02555,1.0296,-0.091679,-0.28927,0.080957,-0.23098,0.27847,0.083688,-0.052769,NaN,0.0089484,-1.83,-1.89,0.37209,0.47674,0.05814,32,30,25,14,0.7718,0.57606,1.9816e-10,0.031656,0.040942,0.017742,0.050376,0.085473,0.00050313,0.66624,0.21817,0.46621,0.76602
180930131312-decay-looming,looming,decay,3,original,0.26697,0.43547,0.74074,1.1412,0.81859,0.865,0.19791,0.2442,0.74074,0.73807,0.55764,0.093252,0.019176,0.55352,0.19775,0.51033,0.42142,0.1823,0.30845,0.45353,0.07081,0.6875,0.16872,-1.7205,-1.8385,0.42353,0.44706,0.058824,39,18,35,12,1.4138,0.65977,0.34647,0.014769,0.59999,0.00088739,0.15447,0.060997,1.1732e-06,0.0026318,0.07556,0.5097,0.86495
180930131312-decay-looming,looming,decay,4,original,0.48151,0.62827,0.7284,1.7327,1.4525,0.92,0.35427,0.38028,0.74074,1.0584,0.8436,0.1455,0.01231,0.46344,0.4348,0.50535,0.50867,0.26144,0.27064,0.51209,0.34429,0.73239,0.41892,-1.7434,-1.9135,0.47059,0.4,0.058824,37,19,33,16,0.28458,0.58301,0.10253,0.019792,0.63278,0.00010491,0.37874,0.023057,2.8105e-08,2.1668e-05,0.39744,0.61852,0.92236
180930131312-decay-looming,looming,decay,5,original,0.58635,0.70092,0.74074,2.0765,1.8711,0.93,0.43784,0.43125,0.7284,1.41,1.1988,0.15596,0.013948,0.50102,0.51309,0.57673,0.5037,0.28799,0.3054,0.50243,0.351,0.78351,0.54007,-1.6559,-1.8072,0.49412,0.36471,0.058824,33,18,31,18,1.8731,0.43925,0.051447,0.025721,0.56906,4.8772e-05,0.42999,0.019592,5.0215e-09,8.6526e-07,0.49041,0.56658,0.90022
